Gloss	Bemba	Bulu	Fang	Ganda	Gogo	Haya	Kalanga	Kamba	Kikuyu	Kimbundu	Koongo	Lingala	Lozi	Luba-Katanga	Luba-Lulua	Makhuwa	Meru	Ndonga	Ndzwani Comorian	Ngazidja Comorian	North Ndebele	Nyanja	Nyankole	Rundi	Shona	Songe	Sukuma	Swahili	Tonga	Tsonga	Tswa	Tswana	Umbundu	Venda	Xhosa	Yaka	Zulu
ANIMAL_1	ìnama			enɲama		eɲamaiʃwa	ɲama	ɲama	ɲàmà	nhama		njama	nama			ináma	ɲama	onjama	ʃiɲáma	iɲama	injama	ɲàmà	eɲama	iɲama	ɲama		ɲama	ɲama	ɲama	ɲama	ɲama	nàmà		ɲama	iɲama	ɲàmà	iɲama
ANIMAL_17											mbisi																										
ANIMAL_2		tit	ʦit																														ósi̍tú				
ANIMAL_22														mwita												mwîtà											
ANIMAL_23															múɲiɲé																						
ANIMAL_30					nîmu																																
ARM_1	ukùboko	wo			múwoko		boko	kẅɔ́kɔ̏	ɣuɔkɔ	lukuaku	koko	lobɔ́kɔ			kuboko		uko	okwako						ukuboko	ruoko	mbòko			kuboko	vókó	wókó	bɔ́χɔ́	ókwo̍kwó			bɔ́	
ARM_13														diːkàsa																							
ARM_20													lizoho																								
ARM_21				mukono		mkono										mɔ̌nɔ			mhóno	mhóno		kóno	omukono				nkono	kono							umkhono		
ARM_26																																		ʧanda			
ARM_27																					inɡalo																ínɡàló
ARM_4			enam																																		
ASH_1				vvu	máfu	eijwi		mou	mohû								ifu		vú	vú		phulusa	eiju				ibu										
ASH_10		asup	asup																																	sùvé	
ASH_11	imìto													butò	bútu											butǒ			itwe								
ASH_25												mputulú																									
ASH_29																		omutoko															éti̍kó				
ASH_36										ditókua	bombi																										
ASH_40													mulola																								
ASH_41							lota									ittuúra					lotha			umuɲota	dòtà							mõlõrã		mulora	umlotha		umlota
ASH_56																												sizi									
ASH_61																														nkuma	khuma						
BARK_2									ikɔni																kòkó											kókó	
BARK_22											kibula																										
BARK_23	bós											póso														kifùsù											
BARK_24					ibada									kibàle																							
BARK_38																	ikanda																				
BARK_40																		ejula									iɡula										
BARK_41										kixixi																											
BARK_42															cízúbú																						
BARK_44													likwati																cikwa	rihantí	hatí	kwàtí		ɡwatí			
BARK_45																																	ócípétà				
BARK_48						ekiʃuʃu																	ekiʃuʃu	iɡiʃiʃwa													
BARK_56								ekɔndɛ																													
BARK_63																			ɡózi	ɡozi																	
BARK_69																						khunɡwa															
BARK_7		ebapele	ebap																																		
BARK_70																nikúla																					
BARK_71																																			ixolo		ílixôlo
BARK_72																					khonkotha																
BED_15																																				tànɡé	
BED_21													mumbeta																								
BED_28				kitanda		eʧitanda		ketanda	òrèrè										ʃiʈánɖa	iʈánɗa			ekitanda				jitanda										
BED_34											mfulu																										
BED_36					úlili												ulili							uburiri		kididi											
BED_37															bulààlu																		ula				
BED_46	lunɡa																																				
BED_47																					umbheda	bedula			mubheʤa					mubédo					ibhedi		umbhede
BED_48																nkórimi																					
BED_49							lawo																									láɔ́		malalo			
BED_5		énon̂	enɔŋ																																		
BELLY_1	ì̀fumo	abum	abum							divumu	kivumu	libumu																					ímò				
BELLY_19																																				ɛ̀ì	
BELLY_23					nda	eibundaenda			nda								ndeu						enda	inda					ida								
BELLY_26								eβu						fu	dífu											efù											
BELLY_35													mba						mímba	mmɓa		mímba										ḿpá					
BELLY_38																		epunda																			
BELLY_45							tumbu																		dùmbù		ŋhumbi	tumbo			rúmbú			thumbu			
BELLY_51																nthúkwa																					
BELLY_52																					isisu														isisu		ìsísù
BELLY_53																														khwírí							
BIG_22																																				làí	
BIG_28														kàtà												mukàtà											
BIG_30							kulukulu													kúu	khulu	kulu			ɡuru					kúlú		ɡóló		hulwane	khulu		khúlù
BIG_31						hanɡo																	hanɡo														
BIG_49	kalàmbà																																				
BIG_50					βaha														libwávu									kubwa									
BIG_54													tuna																								
BIG_56																											ale										
BIG_69																wunnuwela																					
BIG_7		anen	nən	nene				nɛ́nɛ̏	nɛ́nɛ	nene	nene	monene			nené		nini	omunene						nini					pati				ne̍nè				
BIG_70																															hombé						
BIRD_14										njila								okaʤila															ónji̍lá				
BIRD_2	ìcoːni	ônon	onwan	enɲoɲi		ekiɲoɲi	ɲuni	esone	ɲɔni		nuni		ɲuɲuni	koni	ɲúúɲí	mwaánùni			ɲúɲi	nùni	injoni		eɲoɲi	iɲoni		kôni	noni		imujuni	ɲaɲana	ciɲaɲani	nɔ̀ɲánɪ́		ʧinoni		ɲɔ̀dí	íɲònì
BIRD_23																						mbálame															
BIRD_24																									ʃìrì												
BIRD_25																																			intaka		
BIRD_5					ndêje							ndeke					ndeje											deɡe									
BITE_1		lóp	alop	kuluma	luma	kuruma	luma	ómȁ~óma	róma	lumata			kuluma			ulúma	iimara	okulumata			luma	womola	kuruma	kuruma	rúma		kuluma	uma	kuluma	lúma	luma	lʊ́má	ókúlu̍mánà	luma	luma		lúmà
BITE_13																																				bònz	
BITE_14												swá																									
BITE_15											ta																										
BITE_19	ukùsuma													kusùma	kúsumá											kusùma											
BITE_43																			remamáɲo	kazamáɲo																	
BLOOD_1		metʧi	məki									makilá																									
BLOOD_16																																				àndá	
BLOOD_21														ʃi	máʃí											masè											
BLOOD_23					sakámi			nðakamɛ	θàkàmɛ̀							nikhami							eʃaɡama														
BLOOD_24											menɡa																										
BLOOD_26										manhinɡa																	mininɡa										
BLOOD_27	ùmulopa						lopa																						bulowa					malofha			
BLOOD_28													mali																								
BLOOD_29																																	ósóndè				
BLOOD_30																		ombinzi																			
BLOOD_33						obwamba																															
BLOOD_34																								amaraso													
