# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
#
126	Cahuilla	ALL	u̠ m u n	7 4 7 4	XBYN	YMYN	1	1.Y.V 1.M.C 1.Y.V 1.N.c	1.5 1.75 1.3 0.8	u̠mun	0	1
264	Central Tarahumara	ALL	o m ɑ r w ɑ m e	7 4 7 5 6 7 4 7	XBYBCYBZ	UMARWAME	2	2.U.V 2.M.C 2.A.V 2.R.C 2.W.C 2.A.V 2.M.C 2.E.V	1.5 1.75 1.3 1.75 1.5 1.3 1.75 0.8	omɑrwɑme	0	2
399	Chemehuevi	ALL	m ɑ nː o	4 7 4 7	AXBZ	MANU	3	3.M.C 3.A.V 3.N.C 3.U.V	2.0 1.5 1.75 0.8	mɑnːo	0	3
535	Classical Nahuatl	ALL	m o ʧ	4 7 2	AXN	MUC	4	4.M.C 4.U.V 4.C.c	2.0 1.5 0.8	moʧ	0	4
536	Classical Nahuatl	ALL	m o ʧ i	4 7 2 7	AXBZ	MUCI	4	4.M.C 4.U.V 4.C.C 4.I.V	2.0 1.5 1.75 0.8	moʧi	0	9
537	Classical Nahuatl	ALL	iː x k i ʧ	7 3 1 7 2	XMBYN	IGKIC	4	4.I.V 4.G.c 4.K.C 4.I.V 4.C.c	1.5 1.1 1.75 1.3 0.8	iːxkiʧ	0	45
664	Comanche	ALL	o j ɯ	7 6 7	XBZ	UJI	5	5.U.V 5.J.C 5.I.V	1.5 1.75 0.8	ojɯ	0	5
665	Comanche	ALL	o j o	7 6 7	XBZ	UJU	5	5.U.V 5.J.C 5.U.V	1.5 1.75 0.8	ojo	0	5
791	Cupeño	ALL	p ə t ɑ̠ ʔ ɑ m ɑ	1 7 1 7 1 7 4 7	AXBYBYBZ	PETAHAMA	6	6.P.C 6.E.V 6.T.C 6.A.V 6.H.C 6.A.V 6.M.C 6.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	pətɑ̠ʔɑmɑ	0	6
925	El Nayar Cora	ALL	h e i̯ ʦ e	3 7 7 2 7	AXYBZ	HEICE	7	7.H.C 7.E.V 7.I.V 7.C.C 7.E.V	2.0 1.5 1.3 1.75 0.8	hei̯ʦe	0	7
1074	Eudeve	ALL	a w o n a	7 6 7 4 7	XBYBZ	AWUNA	8	8.A.V 8.W.C 8.U.V 8.N.C 8.A.V	1.5 1.75 1.3 1.75 0.8	awona	0	8
1075	Eudeve	ALL	h a o n a	3 7 7 4 7	AXYBZ	HAUNA	8	8.H.C 8.A.V 8.U.V 8.N.C 8.A.V	2.0 1.5 1.3 1.75 0.8	haona	0	8
1200	Highland Puebla Nahuatl	ALL	n o ʧ i	4 7 2 7	AXBZ	NUCI	9	9.N.C 9.U.V 9.C.C 9.I.V	2.0 1.5 1.75 0.8	noʧi	0	9
1327	Hopi	ALL	s o s o j ɑ m	3 7 3 7 6 7 4	AXBYBYN	SUSUJAM	10	10.S.C 10.U.V 10.S.C 10.U.V 10.J.C 10.A.V 10.M.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	sosojɑm	0	10
1328	Hopi	ALL	s o s o j	3 7 3 7 6	AXBYN	SUSUJ	10	10.S.C 10.U.V 10.S.C 10.U.V 10.J.c	2.0 1.5 1.75 1.3 0.8	sosoj	0	10
1454	Huarijío	ALL	j o m a	6 7 4 7	AXBZ	JUMA	11	11.J.C 11.U.V 11.M.C 11.A.V	2.0 1.5 1.75 0.8	joma	0	2
1606	Huichol	ALL	n a i̯ t ɯ	4 7 7 1 7	AXYBZ	NAITI	12	12.N.C 12.A.V 12.I.V 12.T.C 12.I.V	2.0 1.5 1.3 1.75 0.8	nai̯tɯ	0	12
1607	Huichol	ALL	j u n a i̯ t ɯ	6 7 4 7 7 1 7	AXBYYBZ	JYNAITI	12	12.J.C 12.Y.V 12.N.C 12.A.V 12.I.V 12.T.C 12.I.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	junai̯tɯ	0	12
1608	Huichol	ALL	n a i̯	4 7 7	AXZ	NAI	12	12.N.C 12.A.V 12.I.V	2.0 1.5 0.8	nai̯	0	12
1754	Kawaiisu	ALL	m o n o j o	4 7 4 7 6 7	AXBYBZ	MUNUJU	13	13.M.C 13.U.V 13.N.C 13.U.V 13.J.C 13.U.V	2.0 1.5 1.75 1.3 1.75 0.8	monojo	0	3
1883	Luiseño	ALL	ʧ o ʔ o n	2 7 1 7 4	AXBYN	CUHUN	14	14.C.C 14.U.V 14.H.C 14.U.V 14.N.c	2.0 1.5 1.75 1.3 0.8	ʧoʔon	0	14
2012	Mayo	ALL	ʦ i k t i	2 7 1 1 7	AXMBZ	CIKTI	15	15.C.C 15.I.V 15.K.c 15.T.C 15.I.V	2.0 1.5 1.1 1.75 0.8	ʦikti	0	15
