	Badga	Betta Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
ALL_1	ella				ella	ella		ellaːm				ella				ellaːm				
ALL_2			kull																	
ALL_3													ɡoːʈahiː~ɡiːʈeniː							
ALL_4				bottiɡ					mottam								mottamu			
ALL_5		oːʈəja																		
ALL_6									antaː								anta~anni			nanɡaːɭə
ALL_7							maːk			majin									maːta	
ALL_8											haɾa									
ALL_9																		oʋʋoɖimo		
ASH_1																			ʧuːnja~ʧoːnja	
ASH_2												ʧaːmbal~ʧaːɾam				saːmbal				
ASH_3				niːɾ						ʧind				niɖ	nĩd					
ASH_4			his																	
ASH_5	kolabuːdi	piːdi			buːdi	buːdi	buɡɡi		buːɖida								buːɖida	puːdi		buːdi
ASH_6								poːdu atukə												
BARK_1									beɾaɖu								beɾaɖu			
BARK_2			bund																	
BARK_3					naːɾu															
BARK_4							ɖanɖi maɖɖa													
BARK_5	paʈʈe					aʈʈe			danʈi			paʈʈa				paʈʈe	paʈʈa		ketta	
BARK_6		meɾtoːlə		toːl								maɾattoli								toːlu
BARK_7																		puʈkoɾi		
BARK_8					toɡaʈi															
BARK_9										oːɖak										
BARK_10								kolluʧo												
BARK_11						ʧekke														
BELLY_1																tonti~toppai				
BELLY_2	oʈʈe	poʈʈi			hoʈʈe~hoʈʈa	poʈʈe	ʈeʈʈe								poʈʈa		poʈʈa			
BELLY_3									ɖokka											
BELLY_4											banɖi								banʤi	
BELLY_5				piːɾ														piɾ		
BELLY_6												ʋajaɾə				vayiru				baiɾu~baːɾə
BELLY_7			peɖʰ										puɖaː	puduɡ						
BELLY_8								naɖpeːʈɡu									kaɖupu			
BELLY_9										kuːl										
BIG_1									beɾɾa		beːɾ		beːɖo		beɾto					
BIG_2				pedda												peɾija~peɾəsə	pedda			
BIG_3														muɾe						
BIG_4	doɖɖadə				doɖɖadu															
BIG_5								toɖut												
BIG_6										koha										
BIG_7			ballun																malla	baleji
BIG_8						baljadə						ʋaludə						ittuːɖə		
BIG_9		dappu																		
BIRD_1										oɖa										
BIRD_2													puʤudu							
BIRD_3				piʈʈə			piʈʈa		piʈʈeːku					titə			pitta			
BIRD_4											minu									
BIRD_5												kili								
BIRD_6		pikki			hakki~pakʂi	pakʂi		pakkiɡaɭ				pakʂi				paɾaʋai	pakʂi	paɾaʋai	pakki	pakʧi
BIRD_7			ʧok																	
BITE_1									koɾaka						koɾk		koɾuku			
