	Badga	Betta Kurumba	Brahui	Gondi	Kannada	Kodava	Kolami	Kota	Koya	Kurukh	Kuwi	Malayalam	Malto	Ollari Gadba	Parji	Tamil	Telugu	Toda	Tulu	Yeruva
ALL_1	ella				ella	ella		ellaːm				ella				ellaːm				
ALL_2			kull																	
ALL_3													ɡoːʈahiː~ɡiːʈeniː							
ALL_4		oːʈəja		bottiɡ					mottam								mottamu			
ALL_5									antaː								anta~anni			nanɡaːɭə
ALL_6							maːk			majin	haɾa								maːta	
ALL_7																		oʋʋoɖimo		
ASH_1																			ʧuːnja~ʧoːnja	
ASH_2												ʧaːmbal~ʧaːɾam				saːmbal				
ASH_3				niːɾ						ʧind				niɖ	nĩd					
ASH_4			his																	
ASH_5	kolabuːdi	piːdi			buːdi	buːdi	buɡɡi		buːɖida								buːɖida	puːdi		buːdi
ASH_6								poːdu atukə												
BARK_1			bund						beɾaɖu								beɾaɖu			
BARK_2					naːɾu															
BARK_3							ɖanɖi maɖɖa													
BARK_4	paʈʈe					aʈʈe			danʈi			paʈʈa				paʈʈe	paʈʈa		ketta	
BARK_5		meɾtoːlə		toːl								maɾattoli								toːlu
BARK_6																		puʈkoɾi		
BARK_7					toɡaʈi					oːɖak										
BARK_8								kolluʧo												
BARK_9						ʧekke														
BELLY_1	oʈʈe	poʈʈi			hoʈʈe~hoʈʈa	poʈʈe	ʈeʈʈe								poʈʈa	tonti~toppai	poʈʈa			
BELLY_2									ɖokka											
BELLY_3											banɖi								banʤi	
BELLY_4				piːɾ														piɾ		
BELLY_5												ʋajaɾə				vayiru				baiɾu~baːɾə
BELLY_6			peɖʰ										puɖaː	puduɡ						
BELLY_7								naɖpeːʈɡu									kaɖupu			
BELLY_8										kuːl										
BIG_1									beɾɾa		beːɾ		beːɖo		beɾto					
BIG_2				pedda												peɾija~peɾəsə	pedda			
BIG_3														muɾe						
BIG_4	doɖɖadə				doɖɖadu															
BIG_5								toɖut												
BIG_6										koha										
BIG_7			ballun																malla	baleji
BIG_8						baljadə						ʋaludə						ittuːɖə		
BIG_9		dappu																		
BIRD_1										oɖa										
BIRD_2													puʤudu							
BIRD_3				piʈʈə			piʈʈa		piʈʈeːku					titə			pitta			
BIRD_4											minu									
BIRD_5												kili								
BIRD_6		pikki			hakki~pakʂi	pakʂi		pakkiɡaɭ				pakʂi				paɾaʋai	pakʂi	paɾaʋai	pakki	pakʧi
BIRD_7			ʧok																	
BITE_1									koɾaka						koɾk		koɾuku			
BITE_2			kaat kanninɡ				atekaʂin													
