Gloss	Apolobamba	Apurí-Madean-Viñac	Ayacucho	Azuay	Cacra-Hongos	Cajamarca	Chachapoyas	Chimborazo	Chocos-Huangáscar	Chuquisaca	Cochabamba	Colombian Inga	Corongo	Cuzco	Eastern-Apurímac	Huallaga-Huánuco	Huancavelica	Huaraz-Huailas	Huaylla-Huanca	Imbabura	Jauja-Huanca	Lambayeque	Laraos	Lincha-Tana	Liscay-San Pedro	Napo	Pacaraos	Pastaza	Puno	San Martín	Santiago del Estero	Tena	Yaru
ASH_1	uʧpʰa	uʈpa	uʧpa	uʧupa	uʈpa	uʂpa	uʈ͡ʂpa	uʃpa	uʈpa	uʃpʰa	uʃpʰa	uʧpa	uʧpa	uspʰa	uspa	uʧpa	uʧpa	uʧpa	uʈ͡ʂpa	uʧufa	uʈ͡ʂpa	uʈ͡ʂpa	uʈ͡ʂpa	uʈpa	uʈpa	uʃpa	uʈ͡ʂpa	uʧpa	uspʰa	uʧpa	uʃpa	uʃpa	
ASH_3																																	χoχeʈ͡ʂa
BACK_51	wasa	waʃa	wasa	waʃa	waʃa		waʃa	waʃa	waʃa	wasa	wasa	wasa		wasa	wasa		wasa		waʂa	waʃa	waʂa		waʃa	waʃa	waʃa	waʃa	waʃa	waʃa	wasa	waʃa	wasa	waʃa	waʃa
BACK_72						waxta							waqta~waχta			waχta		waqta				waχta											
BE ALIVE_3737	kau̯sa	kau̯sa	kau̯sa	kau̯sa na	kau̯sa	kau̯sa	kau̯sa	kau̯sa	kau̯sa	kau̯sa	kau̯sa	kau̯xsa	kawa	kau̯sa	kau̯sa	kawa	kau̯sa	kawa	kau̯sa	kau̯sa na	kau̯sa	kau̯sa	kau̯sa	kau̯sa	kau̯sa	kau̯sa na	kawa	kau̯sa na	kau̯sa	kau̯sa	kau̯sa	kau̯sa	kawa
BE ALIVE_3740		jaʈa			jaʈa				jaʈa															jaʈa	jaʈa								
BE ALIVE_3741												tijaku																					
BELLY_150	wixsa~wisa	wiksa	wiksa	wiχa	wiksa		wiksa	wixsa	wiksa	wixsa	wisa	wixsa		wixsa	wiksa		wiksa			wiksa			wiksa	wiksa	wiksa	wiksa		wiksa	wiksa	wiksa	wixsa	iksa	
BELLY_151						paʈ͡ʂa							paʈ͡ʂa			paʧa		paʧa	pata		pata	paʈ͡ʂa					paʈ͡ʂa						paʈ͡ʂa
BIG_207	atʰun	hatun	hatuŋ	hatun	hatun	atun	atun	hatun	hatun	hatun	hatun	atun	atun	hatun	hatun	hatun	hatun		hatun	xatun	hatun	atun	hatun	hatun	hatun	hatun	xatuŋ	atun	hatun	atun	atun	atun	χatuŋ
BIG_85																		jaʃqa															
BIRD_256	pʼisqu	piʃqo	pisχo	piʃku	piʃqo	piʃʁu	piʃku	piʃku	piʃqo	pʼisqu	pʼisʁu	pisku	piʃqu		pisqo	piʃqu		piʃqu	piʃʔu	piʃku	piʃʔu		piʃqu	piʃqo	piʃqo	piʃku	piʃχo	piʃku	pʼisqu	piʃku	piʃqo	piʃku	piʃχo
BIRD_257														piʧinku~piʧinkʰu	piʧinko		piʧiwsa																
BIRD_45			uɾpitu												urpitu																		
BIRD_7717																						kuru											
BITE_214			kaʧu												kaʧu~qaʧu		kaʧa						kaʈ͡ʂu										kaʈ͡ʂu
BITE_269															kamu																		
BITE_311	kani	kani		kani na	kani	kani	kani	kani	kani	kani	kani	kani	kani	kani	kani	kaɲi		aɲi	kani	kani na	kani	kani		kani	kani	kani na	kani	kani na	kani	kani	kaniː	kani	
BLACK_366	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jaɲa	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana	jana
BLOOD_417	ʎawar	jawaɾ	jawaɾ	jawaɾ	jawal	jawar	jawar	jawar̝	jawaɾ	jawar	ʎawar	jawar	jawar̥	jawar	jawar	jawar	jawar	jawaɾ	jawar	jawaɾ	jawar	jawar	jawar	jawaɾ	jawaɾ	rawai̯	jawaɾ	jawar	jawar	jawar	jaːɾ	jawar̥	jawaʐ
BONE_468	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʤu	tuʥu	tuʒu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʎu	tuʒu	tuʎu	tuʎu	tuʎu	tuʎu	tulu	tuʎu	tuʎu	tuʥu	tuʒu	tuʎu	tulu
BRANCH_215															paʎqa											paʎka						paʎka	
BRANCH_218																		ʃai̯ʎi															
BRANCH_516			kaʎma											kʼaʎma																			
BRANCH_517	ʧʼapra	ʧapɾa			ʧapla				ʧapɾa	ʧʼaχra						ʧapsa	ʧapra		ʧapla		ʧapla			ʧapɾa	ʧapɾa								
BRANCH_518								maʒki				malxi								malki													
BRANCH_519											rama												rama					ɾama	rama				
BRANCH_521													aʈ͡ʂa																				
BRANCH_7575						rikra																rikra											
BRANCH_tanca"				kaʎma~tanka																													
BREAD_558	tʼanta	tanta	tanta	tanda	tanta	tanda	tanda	tanda	tanta	tʼanta	tʼanta	tanda	tanta	tʼanta	tanta	tanta	tanta	taɲta	tanta	tanda	tanta	tanda	tanta	tanta	tanta	tanda	tanta		tʼanta	tanda	tanta	tanda	tanta
BREAST_60													seno																				
BREAST_607		ʧiʧi			ʧiʧi	ʧuʧu	ʧuʧu	ʧuʧu	ʧiʧi			ʧuʧu				ʧuʧu~ʧiʧi			ʧiʧi	ʧuʧu	ʧuʧu			ʧiʧi	ʧiʧi	ʧuʧu	ʧuʧu	ʧuʧu		ʧuʧu		ʧuʧu	ʧuʧu
BREAST_608															oqʎai̯																		
BREAST_609	ɲuɲu	ɲuɲu	ɲuɲu		ɲuɲu		ɲuɲu		ɲuɲu	ɲuɲu	ɲuɲu			ɲuɲu			ɲuɲu	ɳuɳu	ɲuɲu			ɲuɲu	ɲuɲu	ɲuɲu	ɲuɲu				ɲuɲu	ɲuɲu	ɲuɲu		
BREAST_pugru"				qinʒu~puɡɾu																													
BROTHER (OF MAN)_5625						masa																											
BROTHER (OF MAN)_5669										ɲaɲa	ɲaɲa																						
BROTHER (OF MAN)_666	wau̯qi	wau̯qi	wau̯χe	wau̯ki	wau̯qi		wau̯ki	wau̯ki	wau̯qi			wau̯xi	ɢoːqi	wai̯qi	wau̯qe	wau̯qi	wau̯χi	wau̯qi	wau̯ʔi	wau̯ki	wau̯ʔi		wau̯qi	wau̯qi	wau̯qe	wau̯ki	wau̯χe	wau̯ki		wau̯ki	wau̯qɪ	wau̯ki	wau̯χe
BROTHER (OF MAN)_716																													tura				
BROTHER (OF MAN)_720																						ukni											
BROTHER (OF WOMAN)_5669										ɲaɲa	ɲaɲa																						
BROTHER (OF WOMAN)_666																				wau̯ki													
BROTHER (OF WOMAN)_716	tura	tuɾi	tuɾi	tuɾi	tuli	turi	turi	turi	tuɾi			turi	turi	tura	torai̯	turi	turi	tuɾi	tuli		tuli		turi	tuɾi	tuɾi	turi	tuɾi	turi	tura	turi	tuɾa	turi	tuɾi
BROTHER (OF WOMAN)_720																						ukni											
CLOUD_766	pʰuju	puju	puju	puju			puju	pʰuju	puju	pʰuju	pʰuju	puju		pʰuju	puju~fuju		puju			fuju					puju	puju		puju	pʰuju	puju	puju	puju	
CLOUD_8					pukutai̯	pukutai̯							pukuteː			pukutai̯		pukutai̯	pukutai̯		pukutai̯	puktai̯	pukutai̯	pukutai̯			pukutai̯						puɡutai̯
COLD_145															qasa	qasa						xasa											
COLD_822	ʧiri	ʧiɾi	ʧiɾi	ʧiɾi		ʧiri	ʧiri	ʧiri	ʧiɾi	ʧiri	ʧiri	ʧiri		ʧiri	ʧiri		ʧiri			ʧiɾi					ʧiɾi	ʧiri		ʧiri	ʧiri	ʧiri	ʧiɾi	ʧiri	
COLD_823		alalaj			alalai̯				alalai̯				ala la					alaːlai̯	alalaʔ		alalaʔ		ala la	alalai̯	alalai̯		alalai̯						alala
COME_161																					ai̯wa mu												
COME_877	hamu	hamu	hamu	ʃamu na	hamu	ʃamu	ʃamu	ʃamu	hamu	hamu	hamu	samu	ʃamu	hamu	hamu~qamu	ʃamu	hamu	ʃamu	ʂamu	ʃamu na		ʃamu	hamu	hamu	hamu	ʃamu na	ʃamu	ʃamu na	hamu	ʃamu	amu	ʃamu	ʃamu
CRY_238			awʎa																														
CRY_944	waqa	waqa	waχa	waka na	waqa	waʁa	waka	waka	waqa	waqa	waʁa	waka	waqa	waqa	waqa	waqa	waχa	waqai̯	waʔai̯	waka na	waʔai̯	waʁa	waqa	waqa	waqa	waka na	waʁa	waka na	waqa	waka	waχai̯	waka	waχa
DAY (NOT NIGHT)_1000													unaq			hunaχ		xuɲaq				unaχ					xunaχ						χonaχ
DAY (NOT NIGHT)_36																							mujun										
DAY (NOT NIGHT)_998	pʼunʧai̯	punʈau̯	punʧau̯	punʒa	punʈau̯	punʤau̯	punʧau̯	punʤa	punʈau̯	pʼunʧai̯	pʼunʧai̯	punʧa		pʼunʧai̯	puʧau̯		punʧau̯		pun	punʧa	pun			punʈau̯	punʈau̯	punʤa		punʧa	pʼunʧai̯	punʧau̯	punʧau̯	punʤa	
DIE_1058	waɲu	waɲu	waɲu	waɲu na	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu na	waɲu	wanu	waɲu	waɲu	waɲu	waɲu na	waɲu ku	waɲu na	waɲu	waɲu	waɲu	waɲu	wanu
DIE_1062												ʧinɡa ri																					
DOG_1109	alqu	aʎqo	aʎχo	aʎku	aʎqo	aʧʁu	aʥku	aʒku	aʎqo	alqu	alʁu	alku	aʎqu	alqu	aʎqo~alqo	aʎqu	aʎχu	aʎqu	aʎʔu	aʎku	aʎʔu	aʒʁu	alqu	aʎqo	aʎqo	aʎku	alχo	aʎku	alqu	aʥku	aʒqo	aʎku	alχo
DRINK_110																		bebeɾ															
DRINK_1168	upja	upja	upja	upja na	upja	upja	upja	ubja	upja	uxja	uxja	upja	upja	uxja	upja		upja		upja	ufja na	upja	upja	upja	upja	upja		upja	upja na	uxa	upja	upja		upja
DRINK_268																										upi na						upi	
DRY_1223	ʧʼaki	ʧaki	ʧaki	ʧaki ʃka	ʧaki	ʧaki	ʧaki	ʧaki ʃka	ʧaki	ʧʼaki	ʧʼaki	ʧaxi ska	ʦaki	ʧʼaki	ʧaki	ʧaki	ʧaki	ʦaki	ʧaki	ʧaki ʃka	ʧaki	ʧaki	ʧaki	ʧaki	ʧaki	ʧaki ʧi na	saki	ʧaki ʃka	ʧʼaki	ʧaki	ʧaxi	ʧaki ʃka	ʧaɡi
DRY_147												tusta																					
DRY_148															qawi																		
EAR_1279	ninri~linri	ɾinɾi	ɾiŋɾi	ɾinɾi	linli	rinri	rinri	r̝inr̝in	ɾinɾi	linri~ninri~niɡri	ninri~linri	rinri	rinri	ninri~rinri	rinri~ninri	rinri	linri~rinri	ɾiɲɾi	linli	ɾinɾi	linli	r̝inri	linri	linɾi	ɾinɾi	rinri	ɾiŋɾi	ɾinri	ninri~rinri	rinri	niŋɾi	riŋri	ʐiŋɾi
EAT_106															manja																		
EAT_1335	mikʰu	miku	miku	miku na	miku	miku	miku	miku	miku	mikʰu	mikʰu	miku	miku	mixu	miχu	miku	miku	miku	miku	miku na	miku	miku	miku	miku	miku	miku na	miku~mika	miku na	mikʰu	miku	mixu	miku	miku
EAT_1341															qastu																		
EGG_1407	runtu	ɾuntu	ɾuntu		luntu		rundu		ɾuntu	r̝untu	r̝untu		runtu	runtu	runtu	runtu	runtu		luntu			r̝undu	runtu	luntu	ɾuntu				runtu	rundu	ɾuntu		
EGG_205				ɾuru		ruru		lulun										ɾuɾu		lulun	lulu					lulun	ɾuɾu	lulun				lulun	ʐuɾu
EIGHT_1458	pusaχ	pusaq	pusaχ	pusaɡ	pusaq	pusaχ	pusak	pusax	pusaq	pusaχ	pusaχ	pusaɡ	pusaq	pusaχ	musaq	pusaχ	pusaχ		pusaʔ	pusak	pusaʔ		pusaχ	pusaq	pusaq	pusaχ	puwaχ	pusak	pusaχ	pusak	pusaχ	pusax	puwaχ
EIGHT_1461																						oʧo											
ELBOW_1509		kuʈu ʃ	kuʧu s		kuʈu ʃ	ku kuʈ͡ʂi	kuʈ͡ʂu ʃ		kuʈu ʃ				ku kuʈ͡ʂi	ku kuʧu	ku kuʧi~ku kuʧiu	ku ku ʃ	kuʧu s	ku ku ʃ	kuʈ͡ʂu ʂ		kuʈ͡ʂu ʂ	ku kuʈ͡ʂi	kuʈ͡ʂu ʃ	kuʈu ʃ	kuʈu ʃ		kuʈ͡ʂu ʃ			kuʈ͡ʂu ʃ			kuʈ͡ʂu ʃ
ELBOW_1519								ujun																									
ELBOW_165												konexa																					
ELBOW_3272				ɾiɡɾa muku						maki muqu	maki muʁu									ɾiɡɾa muku								mu̯iku	muqu		moχo	maki muku	
ELBOW_73												ɲudu																					
ELBOW_74	muχʎi																																
ELBOW_7575																										riɡra							
EMPTY_119			taʎi																											taʥix			
EMPTY_121						iʎa x																	iʎa χ				ilaː						ila
EMPTY_124												sumbu																					
EMPTY_126													ina ʎa																				
EMPTY_128															ʎatan																		
EMPTY_1575	ʧʼusa χ			ʧuʃaɡ				ʧuʃa x		ʧʼusa χ	ʧʼusa χ	ʧusa		ʧʼusa χ	ʧusaq					ʧuʃax		ʧunʤa				ʧuʃa		ʧuʃa	ʧʼusa χ		ʧusaχ	ʧuʃa x	
EMPTY_1576															ʧin																		
EMPTY_1577																	vasijo																
EMPTY_1578																haːku χ			halku ʂa		halku ʂa												
EYE_1632	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɳawi	ɲawi		ɲawi	nawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲavi	ɲawi	ɲawi	ɲawi	ɲaβi~ɲawi	nawi
EYE_205																				ɲawi lulun													
FACE_1632				ɲawi				ɲawi				ɲawi								ɲawi						ɲawi						ɲaβi	
FACE_1684							wija																										
FACE_1685						qaʁʎa							qaqʎa			qaχʎa																	
FACE_1687	uja	uja	uja						uja	uja	uja			uja	uja										uja			uja	uja	uja	uja		
FACE_1688																			likʧaʔ~likʧai̯														
FACE_1690																						χaχʤa											
FACE_223																	kara						kara				kaːɾa						kaɾa
FAR_1735	karu	kaɾu	kaɾu	kaɾu	kalu	karu	karu	karu	kaɾu	karu	karu	karu		karu	karu~qaru	karu	karu	kaɾu	kalu	kaɾu	kalu	karu	karu	kaɾu	kaɾu	karu	kaɾu	karu	karu	karu	kaɾu	karu	kaɾu
FAR_1738													larɡu																				
