Language_ID,Feature_ID,IPA,Value
Bemba,DOG,imbwà,1
Bulu,DOG,mvu,1
Fang,DOG,mvu,1
Ganda,DOG,embwa,1
Gogo,DOG,ḿbwa,1
Haya,DOG,embwa,1
Kimbundu,DOG,mbua,1
Koongo,DOG,mbwa,1
Lingala,DOG,mbwá,1
Luba-Katanga,DOG,mbwà,1
Luba-Lulua,DOG,mbwá,1
Ndonga,DOG,ombwa,1
Ndzwani_Comorian,DOG,mbwá,1
Ngazidja_Comorian,DOG,mbwá,1
Nyankole,DOG,embwa,1
Rundi,DOG,imbwa,1
Shona,DOG,imbwá,1
Songe,DOG,ḿbwà,1
Sukuma,DOG,mva,1
Swahili,DOG,mbwa,1
Tonga,DOG,mubwa,1
Umbundu,DOG,ómbwà,1
Venda,DOG,mmbwa,1
Kalanga,DOG,bɡa,2
Lozi,DOG,nja,2
North_Ndebele,DOG,inja,2
Tswana,DOG,ɲ̀ʧá,2
Xhosa,DOG,inja,2
Zulu,DOG,ínjà,2
Kamba,DOG,ŋɡiteːsolo,3
Meru,DOG,ikite,3
Kikuyu,DOG,kuro,4
Makhuwa,DOG,mwalápwa,5
Nyanja,DOG,ɡaru,6
Tsonga,DOG,mbjáná,7
Tswa,DOG,mbzáná,7
Yaka,DOG,mbóándé,8
Bemba,KNOW (SOMETHING),ìsiba,9
Kalanga,KNOW (SOMETHING),ziba,9
Kimbundu,KNOW (SOMETHING),ijia,9
Lingala,KNOW (SOMETHING),jéba,9
Lozi,KNOW (SOMETHING),ziba,9
Makhuwa,KNOW (SOMETHING),ʧúwèla,9
Ndzwani_Comorian,KNOW (SOMETHING),ʒua,9
Ngazidja_Comorian,KNOW (SOMETHING),ʤua,9
Nyanja,KNOW (SOMETHING),ʣiwa,9
Shona,KNOW (SOMETHING),zíʋá,9
Swahili,KNOW (SOMETHING),ʄua,9
Tonga,KNOW (SOMETHING),zʲiba,9
Tsonga,KNOW (SOMETHING),tívá,9
Tswa,KNOW (SOMETHING),tívá,9
Umbundu,KNOW (SOMETHING),kúlíhà,9
Venda,KNOW (SOMETHING),dʰiβa,9
Yaka,KNOW (SOMETHING),pí,9
Bulu,KNOW (SOMETHING),jem,10
Fang,KNOW (SOMETHING),jəm,10
Ganda,KNOW (SOMETHING),maɲa,11
Gogo,KNOW (SOMETHING),maɲa,11
Haya,KNOW (SOMETHING),maɲa,11
Kamba,KNOW (SOMETHING),maɲȁ,11
Kikuyu,KNOW (SOMETHING),mɛ̀ɲa,11
Luba-Lulua,KNOW (SOMETHING),máɲá,11
Meru,KNOW (SOMETHING),maɲa,11
Nyankole,KNOW (SOMETHING),maɲa,11
Rundi,KNOW (SOMETHING),meɲa,11
Sukuma,KNOW (SOMETHING),mana,11
Koongo,KNOW (SOMETHING),zaba,12
Luba-Katanga,KNOW (SOMETHING),juka,13
Songe,KNOW (SOMETHING),ǔka,13
Ndonga,KNOW (SOMETHING),ʦeja,14
North_Ndebele,KNOW (SOMETHING),azi,15
Tswana,KNOW (SOMETHING),íʦɪ́,15
Xhosa,KNOW (SOMETHING),azi,15
Zulu,KNOW (SOMETHING),âzì,15
Bemba,CLOUD,ìkumbi,16
Luba-Katanga,CLOUD,diːkumbi,16
Meru,CLOUD,irumbe,16
Songe,CLOUD,elevu,16
Tonga,CLOUD,ikkumbi,16
Bulu,CLOUD,nkut,17
Fang,CLOUD,ŋ̍kut,17
Yaka,CLOUD,kùtú,17
Ganda,CLOUD,kile,18
Gogo,CLOUD,mavunde,19
Makhuwa,CLOUD,nihútte,19
Sukuma,CLOUD,ilunde,19
Haya,CLOUD,ekiʧwi,20
Kamba,CLOUD,eðwɛɔ,20
Kikuyu,CLOUD,ìtù,20
Nyankole,CLOUD,ekiʧu,20
Rundi,CLOUD,iɡicu,20
Kalanga,CLOUD,ɡole,21
Shona,CLOUD,ɡòré,21
Venda,CLOUD,ɡole,21
Kimbundu,CLOUD,dituta,22
Koongo,CLOUD,tuti,22
Lingala,CLOUD,lipáta,23
Lozi,CLOUD,lilu,24
Luba-Lulua,CLOUD,dívúbá,25
Ndonga,CLOUD,oʃikoɡo,26
Ndzwani_Comorian,CLOUD,vìŋɡu,27
Ngazidja_Comorian,CLOUD,biŋɡu,27
Swahili,CLOUD,winɡu,27
North_Ndebele,CLOUD,ilifu,28
