Language_ID,Feature_ID,IPA,Value
Apolobamba,COLD,ʧiri,1
Apurí-Madean-Viñac,COLD,ʧiɾi,1
Ayacucho,COLD,ʧiɾi,1
Azuay,COLD,ʧiɾi,1
Cajamarca,COLD,ʧiri,1
Chachapoyas,COLD,ʧiri,1
Chimborazo,COLD,ʧiri,1
Chocos-Huangáscar,COLD,ʧiɾi,1
Chuquisaca,COLD,ʧiri,1
Cochabamba,COLD,ʧiri,1
Colombian_Inga,COLD,ʧiri,1
Cuzco,COLD,ʧiri,1
Eastern-Apurímac,COLD,ʧiri,1
Huancavelica,COLD,ʧiri,1
Imbabura,COLD,ʧiɾi,1
Liscay-San_Pedro,COLD,ʧiɾi,1
Napo,COLD,ʧiri,1
Pastaza,COLD,ʧiri,1
Puno,COLD,ʧiri,1
San_Martín,COLD,ʧiri,1
Santiago_del_Estero,COLD,ʧiɾi,1
Tena,COLD,ʧiri,1
Apurí-Madean-Viñac,COLD,alalaj,2
Cacra-Hongos,COLD,alalai̯,2
Chocos-Huangáscar,COLD,alalai̯,2
Corongo,COLD,ala la,2
Huaraz-Huailas,COLD,alaːlai̯,2
Huaylla-Huanca,COLD,alalaʔ,2
Jauja-Huanca,COLD,alalaʔ,2
Laraos,COLD,ala la,2
Lincha-Tana,COLD,alalai̯,2
Liscay-San_Pedro,COLD,alalai̯,2
Pacaraos,COLD,alalai̯,2
Yaru,COLD,alala,2
Eastern-Apurímac,COLD,qasa,3
Huallaga-Huánuco,COLD,qasa,3
Lambayeque,COLD,xasa,3
Apolobamba,DOG,alqu,4
Apurí-Madean-Viñac,DOG,aʎqo,4
Ayacucho,DOG,aʎχo,4
Azuay,DOG,aʎku,4
Cacra-Hongos,DOG,aʎqo,4
Cajamarca,DOG,aʧʁu,4
Chachapoyas,DOG,aʥku,4
Chimborazo,DOG,aʒku,4
Chocos-Huangáscar,DOG,aʎqo,4
Chuquisaca,DOG,alqu,4
Cochabamba,DOG,alʁu,4
Colombian_Inga,DOG,alku,4
Corongo,DOG,aʎqu,4
Cuzco,DOG,alqu,4
Eastern-Apurímac,DOG,aʎqo,4
Eastern-Apurímac,DOG,alqo,4
Huallaga-Huánuco,DOG,aʎqu,4
Huancavelica,DOG,aʎχu,4
Huaraz-Huailas,DOG,aʎqu,4
Huaylla-Huanca,DOG,aʎʔu,4
Imbabura,DOG,aʎku,4
Jauja-Huanca,DOG,aʎʔu,4
Lambayeque,DOG,aʒʁu,4
Laraos,DOG,alqu,4
Lincha-Tana,DOG,aʎqo,4
Liscay-San_Pedro,DOG,aʎqo,4
Napo,DOG,aʎku,4
Pacaraos,DOG,alχo,4
Pastaza,DOG,aʎku,4
Puno,DOG,alqu,4
San_Martín,DOG,aʥku,4
Santiago_del_Estero,DOG,aʒqo,4
Tena,DOG,aʎku,4
Yaru,DOG,alχo,4
Apolobamba,KNOW (SOMETHING),jaʧa,5
Apurí-Madean-Viñac,KNOW (SOMETHING),jaʈa,5
Ayacucho,KNOW (SOMETHING),jaʧa,5
Azuay,KNOW (SOMETHING),jaʧa na,5
Cacra-Hongos,KNOW (SOMETHING),jaʈa,5
Cajamarca,KNOW (SOMETHING),jaʈ͡ʂa,5
Chachapoyas,KNOW (SOMETHING),jaʈ͡ʂa,5
Chimborazo,KNOW (SOMETHING),jaʧa,5
Chocos-Huangáscar,KNOW (SOMETHING),jaʈa,5
Chuquisaca,KNOW (SOMETHING),jaʧa,5
Cochabamba,KNOW (SOMETHING),jaʧa,5
Colombian_Inga,KNOW (SOMETHING),jaʧa,5
Corongo,KNOW (SOMETHING),jaʈ͡ʂa,5
Cuzco,KNOW (SOMETHING),jaʧa,5
Eastern-Apurímac,KNOW (SOMETHING),jaʧa,5
Huallaga-Huánuco,KNOW (SOMETHING),jaʧa,5
Huancavelica,KNOW (SOMETHING),jaʧa,5
Huaraz-Huailas,KNOW (SOMETHING),jaʧa,5
Huaylla-Huanca,KNOW (SOMETHING),jaʈ͡ʂa,5
Imbabura,KNOW (SOMETHING),jaʧa na,5
Jauja-Huanca,KNOW (SOMETHING),jaʈ͡ʂa,5
Lambayeque,KNOW (SOMETHING),jaʈ͡ʂa,5
Laraos,KNOW (SOMETHING),jaʈ͡ʂa,5
Lincha-Tana,KNOW (SOMETHING),jaʈa,5
Liscay-San_Pedro,KNOW (SOMETHING),jaʈa,5
Napo,KNOW (SOMETHING),jaʧa na,5
Pacaraos,KNOW (SOMETHING),jaʈ͡ʂa,5
Pastaza,KNOW (SOMETHING),jaʧa na,5
Puno,KNOW (SOMETHING),jaʧa,5
San_Martín,KNOW (SOMETHING),jaʧa,5
Santiago_del_Estero,KNOW (SOMETHING),jaʧa,5
Tena,KNOW (SOMETHING),jaʧa,5
Yaru,KNOW (SOMETHING),jaʈ͡ʂa,5
Pacaraos,KNOW (SOMETHING),ɾeχi,6
Apolobamba,CLOUD,pʰuju,7
Apurí-Madean-Viñac,CLOUD,puju,7
Ayacucho,CLOUD,puju,7
Azuay,CLOUD,puju,7
Chachapoyas,CLOUD,puju,7
Chimborazo,CLOUD,pʰuju,7
Chocos-Huangáscar,CLOUD,puju,7
Chuquisaca,CLOUD,pʰuju,7
Cochabamba,CLOUD,pʰuju,7
Colombian_Inga,CLOUD,puju,7
Cuzco,CLOUD,pʰuju,7
Eastern-Apurímac,CLOUD,puju,7
Eastern-Apurímac,CLOUD,fuju,7
Huancavelica,CLOUD,puju,7
Imbabura,CLOUD,fuju,7
Liscay-San_Pedro,CLOUD,puju,7
Napo,CLOUD,puju,7
Pastaza,CLOUD,puju,7
Puno,CLOUD,pʰuju,7
San_Martín,CLOUD,puju,7
Santiago_del_Estero,CLOUD,puju,7
Tena,CLOUD,puju,7
Cacra-Hongos,CLOUD,pukutai̯,8
Cajamarca,CLOUD,pukutai̯,8
Corongo,CLOUD,pukuteː,8
Huallaga-Huánuco,CLOUD,pukutai̯,8
Huaraz-Huailas,CLOUD,pukutai̯,8
Huaylla-Huanca,CLOUD,pukutai̯,8
Jauja-Huanca,CLOUD,pukutai̯,8
Lambayeque,CLOUD,puktai̯,8
Laraos,CLOUD,pukutai̯,8
Lincha-Tana,CLOUD,pukutai̯,8
Pacaraos,CLOUD,pukutai̯,8
Yaru,CLOUD,puɡutai̯,8
Apolobamba,FOOT,ʧaki,9
Apurí-Madean-Viñac,FOOT,ʈaki,9
Ayacucho,FOOT,ʧaki,9
Azuay,FOOT,ʧaki,9
Cacra-Hongos,FOOT,ʈaki,9
Cajamarca,FOOT,ʈ͡ʂaki,9
Chachapoyas,FOOT,ʈ͡ʂaki,9
Chimborazo,FOOT,ʧaki,9
Chocos-Huangáscar,FOOT,ʈaki,9
Chuquisaca,FOOT,ʧaki,9
Cochabamba,FOOT,ʧaki,9
Colombian_Inga,FOOT,ʧaxi,9
Corongo,FOOT,ʈ͡ʂaki,9
Cuzco,FOOT,ʧaki,9
Eastern-Apurímac,FOOT,ʧaki,9
Huallaga-Huánuco,FOOT,ʧaki,9
Huancavelica,FOOT,ʧaki,9
Huaraz-Huailas,FOOT,ʧaki,9
Huaylla-Huanca,FOOT,ʈ͡ʂaki,9
Imbabura,FOOT,ʧaki,9
Jauja-Huanca,FOOT,ʈ͡ʂaki,9
Lambayeque,FOOT,ʈ͡ʂaki,9
Laraos,FOOT,ʈ͡ʂaki,9
Lincha-Tana,FOOT,ʈaki,9
Liscay-San_Pedro,FOOT,ʈaki,9
Napo,FOOT,ʧaki,9
Pacaraos,FOOT,ʈ͡ʂaki,9
Pastaza,FOOT,ʧaki,9
Puno,FOOT,ʧaki,9
San_Martín,FOOT,ʧaki,9
Santiago_del_Estero,FOOT,ʧaxi,9
Tena,FOOT,ʧaki,9
Yaru,FOOT,ʈ͡ʂaɡi,9
Eastern-Apurímac,FOOT,ataka,10
Apolobamba,NECK,kunka,11
Apurí-Madean-Viñac,NECK,kunka,11
Ayacucho,NECK,kunka,11
Azuay,NECK,kunɡa,11
Cacra-Hongos,NECK,kunka,11
Cajamarca,NECK,kunɡa,11
Chachapoyas,NECK,kunɡa,11
Chimborazo,NECK,kunɡa,11
Chocos-Huangáscar,NECK,kunka,11
Chuquisaca,NECK,kunka,11
Cochabamba,NECK,kunka,11
Colombian_Inga,NECK,kunɡa,11
Corongo,NECK,kunka,11
Cuzco,NECK,kunka,11
Eastern-Apurímac,NECK,kunka,11
Huallaga-Huánuco,NECK,kunka,11
Huancavelica,NECK,kunka,11
Huaraz-Huailas,NECK,kuɲka,11
Huaylla-Huanca,NECK,kunka,11
Imbabura,NECK,kunɡa,11
Jauja-Huanca,NECK,kunka,11
Lambayeque,NECK,kunɡa,11
Laraos,NECK,kunka,11
Lincha-Tana,NECK,kunka,11
Liscay-San_Pedro,NECK,kunka,11
Napo,NECK,kunɡa,11
Pacaraos,NECK,kuŋka,11
Pastaza,NECK,kunɡa,11
Puno,NECK,kunka,11
San_Martín,NECK,kunɡa,11
Santiago_del_Estero,NECK,kuŋka,11
Tena,NECK,kunɡa,11
Yaru,NECK,kuŋka,11
Apolobamba,STONE,rumi,12
Apurí-Madean-Viñac,STONE,ɾumi,12
Ayacucho,STONE,ɾumi,12
Azuay,STONE,ɾumi,12
Cacra-Hongos,STONE,lumi,12
Cajamarca,STONE,rumi,12
Chachapoyas,STONE,rumi,12
Chimborazo,STONE,rumi,12
Chocos-Huangáscar,STONE,ɾumi,12
Chuquisaca,STONE,r̝umi,12
Cochabamba,STONE,rumi,12
Colombian_Inga,STONE,rumi,12
Corongo,STONE,rumi,12
Cuzco,STONE,rumi,12
Eastern-Apurímac,STONE,rumi,12
Huallaga-Huánuco,STONE,rumi,12
Huancavelica,STONE,rumi,12
