Language	Word_ID	Gloss	New CognateID	IPA	Notes	Source Notes
Aromanian	Aromanian_ASH_-1	﻿ASH	-2	skrˈumŭ		Borrowed from Albanian škrumb {shkrumb} [Orel 1998: 423-424].
Ligurian (Genoese)	GenoeseLigurian_ASH_-1	ASH	-1	ʧˈeneri		Borrowed from Italian {cenere} 'ashes'.
Megleno-Romanian	MeglenoRomanian_ASH_-1	ASH	-2	skrum		Borrowed from Albanian škrumb {shkrumb} [Orel 1998: 423–424].
Catalan (Manises)	ManisesCatalan_BARK_-1	BARK	-12	kˈɔɾfa		Polysemy: 'bark / peel'. Of Arabic origin [DCVB 2015].
Galician	Galician_BARK_-1	BARK	-7	koɾtˈeθa		Borrowed from Spanish {corteza} 'bark'. There is also a word koɾt-ˈiθ-a {cortiza} mentioned by Fernández Armesto as 'bark' [Fernández Armesto 1981: 224], but according to [Montoya Bolaños 2016] it rather means 'cork'. Distinct from kˈask-a {casca} (native term) or kˈask-ar-a {cáscara} (borrowed from Spanish) 'peel of a fruit / egg's shell' [Montoya Bolaños 2016]. 
Istro-Romanian	IstroRomanian_BARK_-1	BARK	-13	kˈora		Borrowed from Croatian {kora} 'bark'. Byhan also mentions the word kˈož-ä {kóẑę} 'bark' of Slavic origin [Byhan 1899: 250], but it is absent from Kovačec's dictionary in this meaning. 
Istro-Romanian	IstroRomanian_BELLY_-1	BELLY	-6	tərbˈux		Borrowed from Croatian {trbuh} 'belly'. Byhan also mentions the words medˈul {medúl} belly' [Byhan 1899: 273] and rˈɒns-ä {rǫ´nsę} 'swollen belly' [Byhan 1899: 330-331], which are absent from Kovačec's dictionary and from texts.  _x0015_Distinct from štˈumig {ștúmig} 'stomach' (and a contaminated form štulbix {ștulbih}) [Kovačec 2010; Sârbu & Frăţilă 1998: 285-286], yedɲak {iedńac} 'stomach' and želudac {jeludaţ} 'stomach' [Kovačec 2010; Sârbu & Frăţilă 1998: 218], budˈil-ä {budílę} or mɒc {måţ} 'guts' [Kovačec 2010; Sârbu & Frăţilă 1998: 226], drob {drob} 'intestines' [Kovačec 2010], Borrowed from Croatian {trbuh} 'belly'.  _x0015_Žejane: fˈol-e {fóle} 'belly' [Kovačec 2010; Sârbu & Frăţilă 1998: 213; Byhan 1899: 216-217].
Lombard (Plesio)	PlesioLombard_BELLY_-1	BELLY	-1	vˈentru		Borrowed from Italian {ventre} 'belly', replacing pˈanc-a {panza}, which now has an archaic or a more colloquial shade of meaning [Selva 2015].
Romanian	Romanian_BELLY_-1	BELLY	-7	bˈurtə		1985: 356; Gancz 2015. There are two expressions for 'belly': bˈurt-ə {burtă} and pˈɨnteč-e {pântece}, the latter with polysemy: 'belly, stomach / womb'. According to [Gancz 2015], they are synonyms, but the first one is more frequent. Has no certain etymology. Distinct from abdomˈen {abdomen} of French origin, used as a scientific term [Gancz 2015], vˈintr-e {vintre} 'belly', which is used in some dialects [DEaLR 2015] and stomˈak {stomac} 'stomach' of Greek origin [DEaLR 2015]. Moldavian: bˈurt-ə {burtă} 'belly' [Podiko 1973: 209; Borsh & Zaporozhan 1990: 112].
Walloon	Walloon_BITE_-1	BITE	-6	aɲe		Rifondou: aɲ-iː {hagnî} 'to bite'.
Dalmatian	Dalmatian_BLACK_-1	BLACK	-2	njar		"The second one means 'ugly / bad / black', according to Bartoli, and can be found in the meaning 'black' only once: {l-avás el kolár… spatáte uṅ pák… nán-e ri…} ""it has a colour… wait a moment… it is not black…"" [Bartoli 2002: 240]. The third word is mentioned only by Cubich in his vocabulary [Bartoli 2002: 269] and in two contexts: {Jaime de vain vetrún, juálb, fosc, ruass, dole, garb} ""We have wine old, white, black, red, sweet, gentle} [Bartoli 2002: 288-289]; {el jéra spuárc e fosc} ""he was dirty and black"" [Bartoli 2002: 288]. The first word is written down by Ive from Udina and it means 'black' without any doubts ({fúrme un páuk de pun juálb e un páuk de niár} ""we will make some white bread and some brown (literally 'black')"" [Bartoli 2002: 297-298]; {túnte tiáste de píre blánke e niáre} ""a multitude of white and black sheep"" [Bartoli 2002: 299-300]), so we choose it for the list. The form nyar {niár} is a ""dalmatianized"" borrowing from Venetian."
Franco-Provençal	SavoyardFranco-Provençal_BREAST_-1	BREAST	-3	ɛstˈɔma		Distinct from pˈɛtr-o {pètro} 'gizzard'.
Franco-Provençal	SavoyardFranco-Provençal_BURN (SOMETHING)_-1	BURN (SOMETHING)	-1	bryːlˈaː		Along with this term, Viret also mentions fwaːʎ-ˈiː {fwâlyî} and kraːm-ˈaː {krâmâ}, without differentiating them. In another entry he translates fwaːʎ-ˈiː {fwâlyî} as 'to blaze (intransitive)', so we include only brüːl-ˈaː {brûlâ} and kraːm-ˈaː {krâmâ} in the list.
Istro-Romanian	IstroRomanian_BURN (SOMETHING)_-1	BURN (SOMETHING)	-5	palˈi		Borrowed from Croatian {paliti} 'to burn'. Distinct from ˈɒrde {årde} 'to burn' (intr.) [Kovačec 2010; Sârbu & Frăţilă 1998: 188; Byhan 1899: 297] and usturˈɒ {usturå} 'to sting' (intr.) [Byhan 1899: 377].
Occitan	ProvençalOccitan_BURN (SOMETHING)_-1	BURN (SOMETHING)	-1	brylˈa		There are two expressions for 'to burn': brül-ˈa {brula} and kɾem-ˈa {crema}. Coupier mentions them as synonyms.
Istro-Romanian	IstroRomanian_CLOUD_-1	CLOUD	-2	oblˈɒk		There is no word for 'cloud' either in Kovačec's dictionary or in the texts. Borrowed from Croatian {oblak} 'cloud'. Distinct from mˈəɣl-a {mấɣla} (Žejane) 'fog' of Croatian origin [Kovačec 2010; Byhan 1899: 282].
Istro-Romanian	IstroRomanian_DOG_-1	DOG	-4	brek		Probably borrowed from Italian {bracco} 'hound' of Germanic origin. Byhan also mentions the word kˈuc-ä {kútsę} of Croatian origin, which is used in baby talk [Byhan 1899: 260]. Žejane (also occurs in Nova Vas): kˈər-e {cấre} 'dog' [Kovačec 2010; Sârbu & Frăţilă 1998: 197; Byhan 1899: 253].
Occitan	ProvençalOccitan_DOG_-1	DOG	-1	ʧiŋ		Borrowed from French {chien} 'dog'.
Catalan (Castelló de la Plana)	CastellódelaPlanaCatalan_EAT_-1	EAT	-2	meɲʤˈaɾ		Borrowed from Old French {mangier} ˈto eatˈ.
Catalan (Central)	CentralCatalan_EAT_-1	EAT	-2	məɲʒˈa		Borrowed from Old French {mangier} ˈto eatˈ.
Catalan (Manises)	ManisesCatalan_EAT_-1	EAT	-2	meɲʧˈaɾ		Borrowed from Old French {mangier} ˈto eatˈ.
Catalan (Minorcan)	MinorcanCatalan_EAT_-1	EAT	-2	məɲʒˈa		Borrowed from Old French {mangier} ˈto eatˈ.
Catalan (Northwestern)	North-WesternCatalan_EAT_-1	EAT	-2	meɲʤˈa		Borrowed from Old French {mangier} ˈto eatˈ.
Catalan (Valencia)	ValenciaCatalan_EAT_-1	EAT	-2	meɲʧˈaɾ		Borrowed from Old French {mangier} ˈto eatˈ.
Franco-Provençal	SavoyardFranco-Provençal_EAT_-1	EAT	-2	bʤiː		Phonetic variants: bdy-iː {bdyî} ~ bǯy-iː {bdjyî} ~ mdy-iː {mdyî} ~ mǯy-iː {mdjyî} ~ mǯ-iː {mdjî}. Distinct from kas-ˈaː {kassâ} 'to eat', which belongs to informal speech. Annecy: mdy-iː {mdyî} 'to eat', pek-ˈaː {pekâ} 'to eat'; Saint-Pierre-de-Genebroz, Saint-Pierre-de-Soucy: pek-ˈaː {pekâ} 'to eat'.
Italian (Grosseto)	GrossetoItalian_EAT_-1	EAT	-2	manʤˈare		Borrowed from Old French {mangier} 'to eat'.
Italian (Standard)	StandardItalian_EAT_-1	EAT	-2	manʤˈare		Borrowed from Old French {mangier} 'to eat'.
Ligurian (Genoese)	GenoeseLigurian_EAT_-1	EAT	-2	maŋʤˈa		Borrowed from Old French {mangier} 'to eat'.
Ligurian (Rapallo)	RapalloLigurian_EAT_-1	EAT	-2	maŋʤˈa		Borrowed from Old French {mangier} 'to eat'.
Ligurian (Stella)	StellaLigurian_EAT_-1	EAT	-2	maŋʤˈɛ		Borrowed from Old French {mangier} 'to eat'.
Lombard (Bergamo)	BergamoLombard_EAT_-1	EAT	-2	maŋʤˈa		Borrowed from Old French {mangier} 'to eat'.
Lombard (Plesio)	PlesioLombard_EAT_-1	EAT	-2	maŋʤˈa		Borrowed from Old French {mangier} 'to eat'. The term may-ˈa {maià} 'to eat' is less frequent and more colloquial [Selva 2015].
Occitan	ProvençalOccitan_EAT_-1	EAT	-2	manʤˈa		Borrowed from Old French {mangier} 'to eat'.
