	Apolobamba	Apurí-Madean-Viñac	Ayacucho	Azuay	Cacra-Hongos	Cajamarca	Chachapoyas	Chimborazo	Chocos-Huangáscar	Chuquisaca	Cochabamba	Colombian Inga	Corongo	Cuzco	Eastern-Apurímac	Huallaga-Huánuco	Huancavelica	Huaraz-Huailas	Huaylla-Huanca	Imbabura	Jauja-Huanca	Lambayeque	Laraos	Lincha-Tana	Liscay-San Pedro	Napo	Pacaraos	Pastaza	Puno	San Martín	Santiago del Estero	Tena	Yaru
COME_2	hamu	hamu	hamu	ʃamu na	hamu	ʃamu	ʃamu	ʃamu	hamu	hamu	hamu	samu	ʃamu	hamu	hamu~qamu	ʃamu	hamu	ʃamu	ʂamu	ʃamu na		ʃamu	hamu	hamu	hamu	ʃamu na	ʃamu	ʃamu na	hamu	ʃamu		ʃamu	ʃamu
DIE_1	waɲu	waɲu	waɲu	waɲu na	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu	waɲu na	waɲu	wanu	waɲu	waɲu	waɲu	waɲu na	waɲu ku	waɲu na	waɲu	waɲu	waɲu	waɲu	wanu
DIE_2												ʧinɡa ri																					
DOG_1	alqu	aʎqo	aʎχo	aʎku	aʎqo	aʧʁu	aʥku	aʒku	aʎqo	alqu	alʁu	alku	aʎqu	alqu	aʎqo~alqo	aʎqu	aʎχu	aʎqu	aʎʔu	aʎku	aʎʔu	aʒʁu	alqu	aʎqo	aʎqo	aʎku	alχo	aʎku	alqu	aʥku	aʒqo	aʎku	alχo
DRINK_1	upja	upja	upja	upja na	upja	upja	upja	ubja	upja	uxja	uxja	upja	upja	uxja	upja		upja		upja	ufja na	upja	upja	upja	upja	upja	upi na	upja	upja na	uxa	upja	upja	upi	upja
DRINK_2																		bebeɾ															
DRY_1	ʧʼaki	ʧaki	ʧaki	ʧaki ʃka	ʧaki	ʧaki	ʧaki	ʧaki ʃka	ʧaki	ʧʼaki	ʧʼaki	ʧaxi ska	ʦaki	ʧʼaki	ʧaki	ʧaki	ʧaki	ʦaki	ʧaki	ʧaki ʃka	ʧaki	ʧaki	ʧaki	ʧaki	ʧaki	ʧaki ʧi na	saki	ʧaki ʃka	ʧʼaki	ʧaki	ʧaxi	ʧaki ʃka	ʧaɡi
DRY_2												tusta																					
DRY_3															qawi																		
EAR_1	ninri~linri	ɾinɾi	ɾiŋɾi	ɾinɾi	linli	rinri	rinri	r̝inr̝in	ɾinɾi	linri~ninri~niɡri	ninri~linri	rinri	rinri	ninri~rinri	rinri~ninri	rinri	linri~rinri	ɾiɲɾi	linli	ɾinɾi	linli	r̝inri	linri	linɾi	ɾinɾi	rinri	ɾiŋɾi	ɾinri	ninri~rinri	rinri	niŋɾi	riŋri	ʐiŋɾi
EAT_1	mikʰu	miku	miku	miku na	miku	miku	miku	miku	miku	mikʰu	mikʰu	miku	miku	mixu	miχu	miku	miku	miku	miku	miku na	miku	miku	miku	miku	miku	miku na	miku~mika	miku na	mikʰu	miku	mixu	miku	miku
EAT_2															manja																		
EAT_3															qastu																		
EGG_1	runtu	ɾuntu	ɾuntu		luntu		rundu		ɾuntu	r̝untu	r̝untu		runtu	runtu	runtu	runtu	runtu		luntu			r̝undu	runtu	luntu	ɾuntu				runtu	rundu	ɾuntu		
EGG_2				ɾuru		ruru		lulun										ɾuɾu		lulun	lulu					lulun	ɾuɾu	lulun				lulun	ʐuɾu
EYE_1																												ɲavi				ɲaβi	
EYE_2	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi	ɳawi	ɲawi	ɲawi lulun	ɲawi	nawi	ɲawi	ɲawi	ɲawi	ɲawi	ɲawi		ɲawi	ɲawi	ɲawi	ɲawi	nawi
FAR_1	karu	kaɾu	kaɾu	kaɾu	kalu	karu	karu	karu	kaɾu	karu	karu	karu		karu	karu~qaru	karu	karu	kaɾu	kalu	kaɾu	kalu	karu	karu	kaɾu	kaɾu	karu	kaɾu	karu	karu	karu	kaɾu	karu	kaɾu
FAR_2													larɡu																				
FAR_3																												ʧipi					
FAT (ORGANIC SUBSTANCE)_1	wira	wiɾa	wiɾa	wiɾa	wila	wira	wira	wira	wiɾa	wira	wira	wira	wira	wira	wira	wira	wira	wiɾa	wila		wila	wira	wira	wiɾa	wiɾa		wiɾa		wira	wira	wiɾa	ira	wiɾa
FAT (ORGANIC SUBSTANCE)_2																				ɸiɾa								ɡrasa					
FAT (ORGANIC SUBSTANCE)_3															untu																		
FINGERNAIL_1	siʎu	siʎu	siʎu	ʃiʎu	siʎu	ʃiʤu	ʃiʥu	siʒu	siʎu	siʎu	siʎu	siʎu	ʃiʎu	siʎu	siʎu	ʃiʎu	siʎu	ʃiʎu	ʃiʎu	siʎu	ʃiʎu	siʒu	ʃiʎu	siʎu	siʎu	ʃiʎu	ʃilu	ʃiʎu	siʎu	ʃiʥu	siʒu	siʎu	ʃilu
FIRE_1	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	ɲiɲa	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina	nina
FLESH OR MEAT_1	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	eːʦa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʦa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯sa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa	ai̯ʧa
FLY (MOVE THROUGH AIR)_1	hala ʧa																												hala nta				
FLY (MOVE THROUGH AIR)_2																				bula na						wambu rina						wambu ri	
FLY (MOVE THROUGH AIR)_3		pawa	pawa		pawa	pari	pawa		pawa	pʰawa	pʰawa		bu̯elɛ	pʰawa	pala~pawa	paːri	pawa	paxaɾi	paːli		paːli	pari	pawa	pawa	pawa		paːɾi	pawa na		pawa	paː		paːɾi
FLY (MOVE THROUGH AIR)_4								kaʒpa																									
FOOT_1	ʧaki	ʈaki	ʧaki	ʧaki	ʈaki	ʈ͡ʂaki	ʈ͡ʂaki	ʧaki	ʈaki	ʧaki	ʧaki	ʧaxi	ʈ͡ʂaki	ʧaki	ʧaki~ataka	ʧaki	ʧaki	ʧaki	ʈ͡ʂaki	ʧaki	ʈ͡ʂaki	ʈ͡ʂaki	ʈ͡ʂaki	ʈaki	ʈaki	ʧaki	ʈ͡ʂaki	ʧaki	ʧaki	ʧaki	ʧaxi	ʧaki	ʈ͡ʂaɡi
FULL_1															paqar~qapa																		
FULL_2		saksasa			saksaʃa				saksasa															saksaʃa	saksasa							unda kta	
FULL_3	huntʼa	hunta	hunta	hunda	hunta	unda	xunda	hunda	hunta	huntʼa	huntʼa	xunda	unta	huntʼa	ʎinpa~hunta	hunta	hunta		hunta	xunda	hunta	unda	hunta	hunta	hunta	hunda	xunta	unda	huntʼa	xunda	unta		χonta
FULL_4																		wiɲaj															
GIVE_1	qu	qo	χo	ku na	qo	qu	ku	ku	qo	qu	ɢu	kara	qu	qu	qo	qu	χu		ʔu	ku na	ʔu	qu	qu	qo	qo	kun a	χo	ku na	qu	ku	qo	ku	χo
GREEN_1						ʧiʁjax	ʧikjax						ʦiqjaq									ʧiχjaχ								ʧikxak			
GREEN_2	qʼumir		χumiɽ	lumaɾ						qʼumir	qʼumir			qʼumir			χiwa	beɾi										kiʎu	qʼumir		qomeɾ		
GREEN_3								berde							kuku	berde			biɾdi	biɾdi			berde			birdi	berdi					berde	
HAIR (HEAD)_1	ʧuxʧa	ʧukʧa	ʧukʧa				ʧuxʧa		ʧukʧa	ʧuxʧa	ʧuxʧa			ʧuxʧa	ʧukʧa		ʧukʧa											ʧukʧa	ʧuxʧa	ʧukʧa	ʧuxʧa		
HAIR (HEAD)_2		aqʧa		aɡʧa	aqʧa	aχʧa		axʧa	aqʧa			axʧa	aqʦa			aχʧa		aqʦa	aʔʧa	akʧa	aʔʧa	aχʧa	aχʧa	aqʧa	aqʧa	akʧa	aχsa					akʧa	aχʧa
HAND_1	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maxi	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maki	maxi	maki	maɡi
HEAD_1	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma	uma
HEAR_1	uja ɾi	uja ɾi	uja ɾi	uja na	uja li	uja	wija ri	uja	uja ɾi	uja ɾi	uja ɾi	uja	wija	uja ɾi		wija	uja ri	wija	uja li	uja na	uja	uja	uja ɾi	uja ɾi	uja ɾi	uja na	uja	uja na	uja ɾi	uja ri	uja ɾiː	uja	uja
HEART_1																						korazon						kurasun					
HEART_2	sunqu		soŋχo	ʃunɡu	ʃoŋqu	ʃonqo	ʃunɡu	ʃunɡu	ʃoŋqu	sunqu	sunʁu	sunɡu	ʃunqu	sunqu	sonqo	ʃunqu	sunɢu	ʃoɲqu	ʂunʔu	ʃunɡu	ʂunʔu		sunqu	ʃoŋqu	ʃoŋqu	ʃunɡu	ʃuɴχu		sunqu	ʃunɡu	soŋqo	ʃunɡu	ʃoŋχu
HEAVY_1	ʎasa	ʎasa	ʎasaχ	ʎaʃaɡ	ʎasa	ʎaʃa	ʥaça	ʒaʃa	ʎasa	ʎasa	ʎasa	ʎasa	lasa	ʎasa	ʎasa	lasa	ʎasa	lasaq	ʎasaʔ	ʎaʃax	ʎasaʔ	ʒaʃa	ʎasa	ʎasa	ʎasa	ʎaʃa	lasa	ʎaʃa	ʎasa	ʥaça	lasaχ	ʎaʃa	lasa
HEAVY_2															qasupa																		
HEAVY_3															panra																		
HORN (ANATOMY)_1	waχra	waqɾa	waχɾa		waqla	waqra	wakra		waqɾa	waχra	waχra		waqra	waχra	waqra	waχra	waχra	waqɾa	waʔla		waʔla	waχra	waχra	waqɾa	waqɾa		waχɾa		waχra	wakra	waχɾa		waχɾa
HORN (ANATOMY)_2				ɡaʧu				ʁaʧu~ɡaʧu				kaʧu								kaʧu						kaʧu		kaʧu~kurmi ta				kurnus	
HOT OR WARM_1											rupʰa~r̝upʰa	rupa														rupa		ɾupa			ɾupaχ	rupa k	
HOT OR WARM_2	ʎiχti																																
HOT OR WARM_3		qoni	χoɲi	kunuɡ	qoni	quɲu χ	kuɲu	kunu x~kunu x ʒa	qoni	qʼuɲi		kunu		qʼuɲi	qoɲi		χuni			kunku ʎa		χuɲu χ		qoni	qoni		χoɲu		qʼuɲi	kuɲu			χonu
HOT OR WARM_4													aʧa ʧa q			aka χ			akaʈ͡ʂaq		akaʈ͡ʂaq		aka ʧa q										aka
KNEE_1								sampi			ʧaki muʁu																						
KNEE_2		moqo	moχo						moqo	muqu				muqu	moqo		muχu								moqo								
KNEE_3	qunqur	qonqoɾ		kunɡuɾi	qonqol	qunɡuri	kunɡuri		qonqoɾ			kunɡur	qunquri			qunqur		qoɲqoɾ	ʔunʔul	kunɡuɾi	ʔunʔul	qunɢuri	qunqur	qonqoɾ	qonqoɾ	kunɡuri	χoɴχuɾ	kunɡuri	qunquri	kunɡuri	qoŋqoɾi	kunɡuri muku	χoɴχuʐ
KNOW (SOMETHING)_1	jaʧa	jaʈa	jaʧa	jaʧa na	jaʈa	jaʈ͡ʂa	jaʈ͡ʂa	jaʧa	jaʈa	jaʧa	jaʧa	jaʧa	jaʈ͡ʂa	jaʧa	jaʧa	jaʧa	jaʧa	jaʧa	jaʈ͡ʂa	jaʧa na	jaʈ͡ʂa	jaʈ͡ʂa	jaʈ͡ʂa	jaʈa	jaʈa	jaʧa na	jaʈ͡ʂa~ɾeχi	jaʧa na	jaʧa	jaʧa	jaʧa	jaʧa	jaʈ͡ʂa
LEAF_1				panɡa				pʰanɡa				panɡa								fanɡa						panɡa		panɡa				panɡa	
LEAF_2					ʃuja																												
LEAF_3																		matu															
LEAF_4		juɾa							juɾa																								
LEAF_5	rapʰi	ɾapɾi	ʎaχe~ɾapi		ʃapla	rapra	rapra		ɾapɾa	laqʰi	laqʰi		rapra	rapʼi~rapʰa~rapʼa~rapʰi	rapi	rapra	rapi		lapla		lapla	r̝apra	lapra		ɾapɾa		ɾapɾa		lapʰi	rapra			ʐapɾa
LEG_1	ʧaki	ʈaki	ʧanka	ʧanɡa	ʈaki	ʈ͡ʂanɡa	ʈ͡ʂanɡa	ʧanɡa	ʈaki	ʧaki	ʧaki	ʧanɡa	ʈ͡ʂanka	ʧaka	ʧanka	ʧanka		ʧaɲka	ʈ͡ʂanka	ʧanɡa	ʈ͡ʂanka	ʈ͡ʂanɡa	ʈ͡ʂanka	ʈaki	ʈaki	ʧanɡa	ʈ͡ʂaŋka	ʧanɡa	ʧaki	ʧanɡa	ʧuŋka	ʧanɡa	ʈ͡ʂaŋka
LEG_2																	perna																
LOUSE_1																											uwa						uwa
LOUSE_2	usa	usa	usa	usa	usa	usa	usa	usa	usa	usa	usa	usa	usa	usa	usa	usa	usa	uxa	usa	usa	usa	lisu~liʃu	usa	usa	usa	usa		usa	usa	usa	usa	usa	
MAN_1	qʰari	qaɾi	χaɾi	kaɾi	qali			kʰari	qaɾi	qʰari	qʰari	kari		qʰari	qari		χari		kaɾi	kaɾi			qari	qaɾi	qaɾi	kari		kari	qʰari		qaɾi	kari	
MAN_2						uʎʁu	uʥku						uʎqu			uʎqu					uʎʔu	uʒɢu					ulχo			uʥku			olχu
MAN_3																		hombɾe															
MOON_1	kiʎa	kiʎa	kiʎa	kiʎa	kiʎa	kiʥa	kiʥa	kiʒa	kiʎa	kiʎa	kiʎa	xiʎa	kiʎa	kiʎa	kiʎa	kiʎa	kiʎa	kiʎa	kiʎa	kiʎa	kiʎa	kiʒa	kiʎa	kiʎa	kiʎa	kiʎa	kila	kiʎa	kiʎa	kiʥa	kiʒa	kiʎa	kila
MOUNTAIN_1	urqu	oɾqu	oɾχo	uɾku	olqu	urqu	urku	urku	oɾqu	urqu	urʁu			urqu	orqo	hirka	urɢu	oɾqu	ulʔu	uɾku	ulʔu		urqu	oɾqu	oɾqu	urku		urku	urqu	urku	oɾqo	urku	
MOUNTAIN_2													qaqa		qirka							χaʁa					xiɾka						xiɾka
MOUNTAIN_3												saʧuku																					
MOUTH_1	simi	ʃimi	simi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	simi	simi	simi	ʃimi	simi	simi	ʃimi	simi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	ʃimi	simi	ʃimi	simi	ʃimi	ʃimi
NAME_1	suti	suti	suti	ʃuti	huti	ʃuti	ʃuti	ʃuti	suti	suti	suti	suti	ʃuti	suti	suti	huti	suti	xuti	suti	ʃuti	suti	ʃuti	suti	suti	suti	ʃuti	xuti	ʃuti	suti	ʃuti	suti	ʃuti	χoti
NECK_1	kunka	kunka	kunka	kunɡa	kunka	kunɡa	kunɡa	kunɡa	kunka	kunka	kunka	kunɡa	kunka	kunka	kunka	kunka	kunka	kuɲka	kunka	kunɡa	kunka	kunɡa	kunka	kunka	kunka	kunɡa	kuŋka	kunɡa	kunka	kunɡa	kuŋka	kunɡa	kuŋka
NEW_1	musuχ	muʃoq	mosoχ	muʃuɡ	muʃoq	muʃuχ	muʃuk	muʃux	muʃoq	musuχ	musuχ	musu	muʃuq	musuχ	mosoq~musuq	muʃuχ	musuχ	muʃoq	muʂuʔ	muʃux	muʂuʔ	muʃux	muʃuq	muʃoq	muʃoq	muʃu	muʃoχ	muʃu	musuχ	muʃuk	mosoχ	muʃux	muʃoχ
NIGHT_1	tuta	tuta	tuta	tuta	tuta	tuta	tuta	tuta	tuta	tuta	tuta	tuta	paɢas	tuta	tuta	ʧakai̯	tuta	paqas	tuta	tuta	tuta	tuta	tuta	tuta	tuta	tuta			tuta	tuta	tuta	tuta	paχas
NIGHT_2																											waɾai̯						
NOSE_1	sinqa	seŋqa	seŋχa	sinɡa	seŋqa	sinɡa	sinɡa	sinɡa	seŋqa	sinqa	sinʁa	sinɡa	sinqa	sinqa	senqa	sinqa	sinɢa	seɲqa	sinʔa	sinɡa	sinʔa	sinɢa	sinqa	seŋqa	seŋqa	sinɡa	siɴχa	sinɡa	sinqa	sinɡa	seŋqa	sinɡa	seŋχa
NOT_1	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	maɲa	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana	mana
ONE_1	ux									ux	ux		uk									uk							ux				
ONE_2		huk	huk		huk				huk					huχ	huk~huχ~huq	huk	huk				huk		huk	huk	huk								
ONE_3				ʃuɡ		suχ	sux	ʃux				suɡ						xuk	suk	ʃuk						ʃu	xuk	ʃuk		suk	sux	ʃux	χok
PERSON_1	runa	ɾuna	ɾuna			runa	runa	r̝una	ɾuna	runa~r̝una	r̝una	runa	runa	runa	runa	runa	runa	ɲuɲa	nuna		nuna	runa	runa	luna	ɾuna	runa	ɾuna	ɾuna	runa	runa		runa	nuna
PERSON_2				ʃuɡ ɾuna																													
PERSON_3																				xinti													
RAINING OR RAIN_1	para	paɾa	paɾa	tamja	pala	tamja	tamja	tamja	paɾa	para	para	tamja	tamja	para	para	tamja	para	tamja	tamja	tamja	tamja	tamja	tamja	paɾa	paɾa	tamja	tamja	tamja	para	tamja	paɾa	tamja	tanja
RED_1	puka	puka	puka	puka~piʧi	puka	ʧupika	puka	puka	puka	puka	puka	piʧi~puka	puka	puka	puka	puka	puka	puka	puka	puka	puka	ʧupika	puka	puka	puka	puka	puka	puka	puka	puka	puxa	puka	puɡa
ROAD_1												ɲam bi														ɲam bi		ɲam bi					
ROAD_2										jan	jan																						
ROAD_3	ɲan		ɲaŋ	ɲan		ɲan	ɲan	ɲan					naːni	ɲan	ɲan	naːni	kamino	ɲaːɲi	puli na	ɲan			kaminu						ɲan	ɲan	ɲan	ɲan	kaminu
ROAD_4																												ʈ͡ʂuʧa					
ROOT_1												anɡu														anɡu		anɡu				anɡu	
ROOT_2	sapʰi	sapi	sapi	sapi	sapi	ʈ͡ʂupa	sapi	sapi~sipi	sapi	sapʰi	sapʰi		ʈ͡ʂapa	sapʰi	sapi	sapi	sapi		sipi	sapi	sipi	ʈ͡ʂupa		sapi	sapi		sapi		sapʰi	sapi	sapi		sapi
ROOT_3								pisi															raiz										
SALT_1	kaʧi	kaʈ͡ʂi	kaʧi	kaʧi	kaʈ͡ʂi	kaʈ͡ʂi	kaʈ͡ʂi	kaʧi	kaʈ͡ʂi	kaʧi	kaʧi	kaʧi	kaʈ͡ʂi	kaʧi	kaʧi	kaʧi	kaʧi	kaʧi	kaʈ͡ʂi	kaʧi	kaʈ͡ʂi	kaʈ͡ʂi	kaʈ͡ʂi	kaʈ͡ʂi	kaʈ͡ʂi	kaʧi	kaʈ͡ʂi	kaʧi	kaʧi	kaʧi	kaʧi	kaʧi	kaʈ͡ʂi
SAND_1	aqu	aqo	aχo		aqo	aʁu			aqo				aqu	aqu	aqo	aquʃ	aχu		aʔu		aʔu	aʁu	aqu	aqo	aqo				aqu				
SAND_2																		aʎpa															
SAND_3				tiju			tiju	tʰiju		tʼiju	tʼiju									tiju								tiju		tiju	tiju		
SAND_4																																ʦaʦa	çoχja
SEE_1		qawa	χawa		qawa		kawa		qawa			kawa			qawa									qawa	qawa					kawa	qaː		
SEE_2	riku	ɾika	ɾiku	ɾiku na	lika	rika	riku	r̝iku	ɾika	riku	riku		rika	riku	riku	rika	riku	ɾika	lika	ɾiku na	lika	rika	rika	lika	ɾika	riku na	ɾika	ɾiku na	riku	riku		riku	ʐiɡa
SIT_1													ama			hama																	
SIT_2																											kukaɾaː~ʧapaɾaː						
SIT_3	tija	tija	tija	tija ɾi ku na	tija	tija	tija	tija	tija	tija	tija	tija ku		tija	tija		tija		tiju	tija ɾina	tiju	ta	tija	tija	tija	tija rina	tai̯ ku	tiraji na	tija	tija	tiːja xu	tija	taː ku
SIT_4															paʧi																		
SKIN_1	qara	qaɾa	χaɾa	kaɾa	qala	qara	kara	kara	qaɾa	qara	ɢara	kara	qara	qara	qara	qara	χara	qaɾa		kaɾa		χara	qara	qaɾa	qaɾa	kara	ʁaɾa	kara	qara	kara	qaɾa	kara	χaɾa
SKIN_2																			uta														
SLEEP_1	puɲu	puɲu	puɲu	puɲu na	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu	puɲu na	puɲu	punu	puɲu	puɲu	puɲu	puɲu na	puɲu	puɲu na	puɲu	puɲu	puɲu	puɲu	punu
SMALL_1		taksa~uʧuk	taksa		taksa~uʧuk	takʃa	uʧu ajkka		taksa~uʧuk				uʧuk~iʧik		ʧiki~taksa	iʧik	taksa	takʃa	uʧuk~takʂa		takʂa~uʧuk	takʃa		taksa~uʧuk	taksa~uʧuk		uʧuk			takʃa			iʧik la~takʃa
SMALL_2	huʧʼu̯i									huʧʼu̯i	huʧʼu̯i			huʧʼu̯i	huʧu̯i														huʧʼu̯i				
SMALL_3			uʧu̯i	uʧi ʎa				uʧi ʒa				uʧu ʎa			ʧinki~ʧinli					uʧi ʎa			uʧu̯i			iʧi ʎa		uʧi ʎa			utu la	iʧi ʎa	
SMALL_4				kutu																													
SMOKE (EXHAUST)_1		huʃta			huʃta				huʃta										huntai̯		huntai̯			huʃta	huʃta								
SMOKE (EXHAUST)_2																		xumo									χojai̯						
SMOKE (EXHAUST)_3						qundai̯							qunte									χundai̯											
SMOKE (EXHAUST)_4	qʼusɲi		χosni	kusni			kusni	kuʃni		qʼusɲi	qʼuʃɲi	kusni		qʼusɲi	qosɲi	quʃtai̯	χusɲi			kuʃni			quʃni			kuʃni		kuʃni	qʼuʃɲi	kusni	qosni	kuʃɲi	χoʂʈ͡ʂi
STAND_1	saja	saja	saja	ʃaja na	haja	ʃaja	ʃaja	ʃaja	saja ɾi	saja	saja		ʃaː	saja	saja	ʃaja	saja			ʃaja ɾi na		ʃaja	saja	saja ɾi	saja ɾi	ʃaja ri na		ʃaja na	saja	ʃaja	saja	ʃaja	ʃaja
