	Cocopa	Ipai	Mohave	Tipai	Yavapai
HAIR_3	mxʷaɬ				
HAIR_4					qwˈawa
HAND_1		əsaɬʲ	iːsaʎ	ʃaʎ̥	sˈal
HAND_2	ʔiʃˈaːʎ̥				
HEAD_1		xəɬʲt̪aː	ʧuska		
HEAD_2			ʧuksa		
HEAD_3	mkuɾ				
HEAD_4				ʎ̥mu	
HEAD_5					hˈúː
HEAR_1	ʔiːʔˈiːp		aʔavk	ʔip	ʔˈêˑβi
HEAR_2		jip			
HEART_1		iːʧix		iːʧˈaʃ	
HEART_2			iːwa		iˑwˈáˑja
HEART_3	ʔijˈaːj				
HEAVY_1	ɲix	wən̪ix~wən̪ax	ineːh~ineːθ	nix	nˈoˑ
HORN (ANATOMY)_1	kʷa	əkʷaː	iːkʷe		kʷˈá
I_1	ɲaːʧ			ɲaːʧ	
I_2		ʔənʲaːʧ	ʔiɲeʧ		ʔɲˈaʧi
KILL_1	nak	aːmuːʧ		aːmˈuːʧ	
KILL_2					nˈéhi
KILL_3			tapujm		
KNEE_1			iːmemipuk	miːnəpˈuk	mipˈúk
KNEE_2	ʔimˈiːtaːkˈaːɲ				
KNEE_3		xəmət̪un̪			
KNEE_4		məxət̪un̪			
KNOW (SOMETHING)_1			suːpawm		spˈo
KNOW (SOMETHING)_2	ʔuːjˈaː	n̪uɹ			
KNOW (SOMETHING)_3				uːjˈaːw	
LEAF_1	wal				
LEAF_2			hamaʎ		
LEAF_3		ʔəjaɬ			
LEAF_4					θˈéqa
LIE (REST)_1	jak	jaq		jak	jˈâki
LIE (REST)_2			iðikk		
LIVER_1	ʧpuʂˈu	ʧəpəsiː	ʧavuθiː	t̪əpsˈi	ʧβθˈiˑ
LONG_1	kuʎ̥				kʲˈuˑli
LONG_2		ʔəquɬ	ʔakʲuːʎm		
LOUSE_1	ʔiʔˈiʎ̥				
LOUSE_2					hʔˈel
LOUSE_3			ɲiʔiːʎ		
LOUSE_4		əmiɬʲ			
MAN_1	ʔapˈa	ʔiːkʷiʧ	ʔiːpa	ʔiːpˈa	
MAN_2					pˌaˑhmˈija
MANY_1	ʎ̥aj			ʎ̥aw	
MANY_2			ʔapaʎm		ʔtˈe
MANY_3		xəmiːj			
MANY_4		ʔəxmiːj			
MEAT_1		kukʷaːjp	kʷiːkʷaj~kiːkʷaj		
MEAT_2				kʷak	kʷˌeˑθˈoβa
MEAT_3	ʔimˈaːʧ				
MOON_1	xʎ̥ʔa		haʎʔa		hlˈa
MOON_2		xəɬʲaː			
MOUNTAIN_1		mat̪ət̪aj		matkʷat̪ˈaj	
MOUNTAIN_2			ʔaviː		ʔwˈíˑ
MOUNTAIN_3	wiː				
MOUTH_1		aː	iːja	aː	jˈa
MOUTH_2	ʔijˈa				
NAME_1	muʎ̥		imuːʎ		mˈul~mˈol
NAME_2		ʧəxiʧ			
NEAR_1	xɾpaj	xəlʲəpaj		xəʎpˈaj	
NEAR_2			ipanm		ipˈé
NECK_1			maʎaqe		mlqˈí
NECK_2	mpuk	iːpuk~əjəpuk		iːpˈuk	
NEW_1	xaɲ	wəxaj			
NEW_2					iβmˈû
NEW_3			mapiːθ		
NIGHT_1	ʧɲam		tiːɲam	t̪iːɲˈam	
NIGHT_2		kuxun			
NIGHT_3					hiˑpˈaˑ
NOSE_1		əxuː	iːhu	xu	hˈúː
NOSE_2	ʔixˈu				
NOT_1				xəmˈaːw	ʔˈúmi
NOT_2	lum	umaːw	mot		
ONE_1	ʃit			ʃin	
ONE_2					ʔsˈiti~ʔsˈiˑti
ONE_3		ʔəxin̪k	ʔasentk		
PERSON_1	ʧapˈaj	ʔiːpaj	piʔpa~piʔipa~piːpa	t̪iːpˈaj	ʔpˈáˑ~ʔpˈâˑ
RAIN (PRECIPITATION)_1	pʔaj	ʔəkʷij			
RAIN (PRECIPITATION)_2			kuvʔaw~kuvʔaw	kʷiː	kˌiβˈâwa~kˌiβˈâwa
RED_1	xʷat			xʷat	
RED_2		ʔəxʷat	ʔahʷatm~ʔahʷaːtm		ʔhʷˈati
ROAD_1	waɲˈa	ʔuːnʲaː		waʔɲˈa	ʔɲˈa
ROAD_2			ʔavʔuɲe		
ROOT_1	ʃma		sama	waxənˈu	
ROOT_2		pəxəmaː	ʔiʧsama		
ROOT_3					ʔʔˌiˑmsmˈáˑ
SALT_1	ʂʔiɾ			saːl	
SALT_2		ʔəsilʲ	ʔaθʔiː		ʔθˈiˑ
SAND_1	mˌatʎ̥ʃʔˈaː				
SAND_2			ʔamatsaʎʔaj		
SAND_3			saʎʔaj		
SAND_4		məsxaɹaːj			
SAND_5					ʔhˌaʧwˈá
SAY_1	ʔi			ʔi	ʔˈiˑ
SAY_2		wiː	im	i	
SEE_1	wiː	əwuːw		wiːw	
SEE_2					ʔˈuˑ
SEE_3			ijuːk		
SEED_1	jas	əjaʧ	iðiːʧ		jˈaʧ
SHORT_1	xʎʔut				
SHORT_2				ləʔˈuɲ	
SHORT_3		məputk			
SHORT_4					ʧkrˈoti
SHORT_5			wenawen		
SIT_1	wa	wən̪ak		wa	wˈa
SIT_2			ivak		
SKIN_1			ʧaθkʷil		
SKIN_2					θpˈîla
SKIN_3	ɲkʷʔaɬ				
SKIN_4		əkʷaɬʲ			
SLEEP_1	ʃma	xəmaː	ismam	ʃəmˈa	smˈaː~smˈaˑ
SMALL_1	ʔiʎʧˈaʃ				
SMALL_2		ʔəst̪ik			
SMALL_3				ʎəpˈiʃ	
SMALL_4					kˈeʧ
SMALL_5			iʧʔawk		
SMOKE (EXHAUST)_1		ʔuːxuj	ʔahʷaː		ʔˌohʷˈaja
SMOKE (EXHAUST)_2	xjaj				
SNAKE_1	ʔawˈi		ʔave	aʔwˈi	ʔlwˈí~ʔlwˈî
SPHERICAL (ROUND IN THREE DIMENSIONS)_1		ʔəlul			
SPHERICAL (ROUND IN THREE DIMENSIONS)_2					klʔˈulki
SPHERICAL (ROUND IN THREE DIMENSIONS)_3	ɾʔuɾ				
SPHERICAL (ROUND IN THREE DIMENSIONS)_4			jenajen		
STAND_1		pəxəkʷiː~pəxkʷiː			βskʷˈiˑ
STAND_2	pʔaː		ivʔawm	pʔaw	
STAR_1			hamuse		hˌammsˈíˑ
STAR_2	kʷʎ̥ap				
STAR_3		kʷən̪məsaːp			
STONE_1	xuːɾ	ʔəwilʲ	ʔaviː		ʔwˈíˑ
STONE_2				wiː	
SUN_1	ɲa	ʔənʲaː	ʔaɲa	ɲa~ɲaː	ʔɲˈáː
SWIM_1	xaʎ̥nup			xanˈup	
SWIM_2		aːpuɬ			
SWIM_3			ʔahaʎaʔoːpk		
SWIM_4					ʔhˌaθpˈuˑji
TAIL_1	ʃjuʎ̥	xəjuɬ		ʃəjˈuɬ	
TAIL_2					βhˈé
TAIL_3			iːʔar		
THAT_1	ʂuː~ʔuʂˈuː	puː		puː	
THAT_2					ɲθˈa
THAT_3			hovaʧ		
THIN (OF SHAPE OF OBJECT)_1	ɾʂaːw				
THIN (OF SHAPE OF OBJECT)_2					θˈéqi
THIN (OF SHAPE OF OBJECT)_3			ʔuːhʔaːrk		
THIN (OF SHAPE OF OBJECT)_4		wəkʷiːɹp			
THIS_1	piː	pəjaː		pəjˈa	βjˈa
THIS_2	ʔupˈiː				
THIS_3			viðaʧ		
THOU_1	mapˈuʧ	maː	maɲʧ	maːʧ	mˈaːʧ
TONGUE_1	mpaʎ̥	ən̪əpaɬ	iːpaʎ		
TONGUE_2					himpˈál~himpˈâl
TONGUE_3				xənpˈaɬ	
TOOTH_1		əjaːw	iːðoː		jˈoˑ
TOOTH_2	ʔijˈa				
TREE_1	ʔajˈaː	ʔilʲ		ʔiː	ʔʔˈiˑ
TWO_1	xwak	xəwak		xəwˈak	hwˈâki
TWO_2			havikk		
WALK_1		waː		aː	jˈaˑmi~jˈami
WALK_2			ijemk		
WALK_3	ʔaː				
WARM_1	ʎ̥ap			ʎ̥ap	
WARM_2			ipiʎk~ipiːʎk		
WARM_3		wəɹaːw			
WARM_4					ʔrˈuji
WATER_1	xa			xa	
WATER_2		ʔəxaː	ʔaha		ʔhˈá
WE_1	ɲaːʧ			ɲaʔwˈaʧ	
WE_2			ʔiɲeːʧvʧ		ʔɲˈaʧβ
WE_3		ʔənʲaːwapʧ			
WHAT_1		ʔuːʧ	kuːʧ		kˈaβ
WHAT_2	luːɲ				
WHAT_3				maːjˈiːʧ	
WHITE_1		n̪əməʂap	ɲamasav	ɲəmʃˈap	ɲmsˈaβi
WHITE_2	xmaːʎ̥				
WHO_1		maːp	makaʧ	məʔˈap	
WHO_2					βkˈa
WHO_3	luːɲ				
WIND_1			mataha~matha	mat̪xˈa	mˌathˈaja~mˌathˈâːja~mˌathˈája
WIND_2	ʧxa				
WIND_3		jaːjp			
WOMAN_1					βqˈí~pqˈí
WOMAN_2	sʔak		θiɲaʔaːk~θiɲaʔaːk	ɲəʧʔˈak	
WOMAN_3		sinʲ			
WORM_1	maʔˈiːʎ̥				
WORM_2			iʔˈiːʎva		
WORM_3		iɬ			
WORM_4					ʔʔˈîˑla
YEAR_1	mˌatkˈaːm			matwˈam	
YEAR_2			hoðe~huːðe		
YEAR_3		ʔaːnʲ			
YEAR_4					ʔʧʰˈura
YELLOW_1	qʷaʂ			kʷas	
YELLOW_2		ʔəkʷas	ʔaqʷaθm~ʔaqʷaːθm		ʔqʷˈaθi
