	Anuta	Austral (Ra'ivavae)	Austral (Rurutuan)	East Futuna	Emae	Futuna-Aniwa	Hawaiian	Kapingamarangi	Luangiua	Mangareva	Maori	Mele-Fila	Niuean	North Marquesan	Nukuria	Penrhyn	Pukapuka	RakahangaManihiki	Rapanui	Rarotongan	RennellBellona	Samoan	Sikaiana	Tahitian	Tikopia	Tongan	Tuamotuan	Tuvalu	Vaeakau-Taumako	Wallisian
BELLY_1		ʔoopuoːpu	ʔoopuoːpu				ʔoopuoːpu			koopuoːpu				ʔopu		koopuoːpu		koopuoːpu	kopu	koopuoːpu				ʔoopuoːpu		kete	koopuoːpu			
BELLY_2											puku																			
BELLY_3				tinaʔe~kona		ʃinae		kona		kona		sinae				kona				kona					kona		kona	tinae		kona
BELLY_4	manava			manava		manava			maŋava	manava			manava		manava	manava	manava	manavanui	manava	manava	manaba	manava	manava		manava		manava		manava	manava
BELLY_5					nakau																								ŋapula	
BELLY_6																											tia			ʔalo
BELLY_7						alo																								
BIG_1		ɢahi																			ɡauʔeha									
BIG_2	rai								lahi				lahi			rahi		rahi	rahi					rahi		lahi		lahi		lahi
BIG_3			raʔi	lasi	lasi					ruʔaruʔa												lasi			lasi					
BIG_4																	wowolo													
BIG_5						efa																								
BIG_6														maaka												fuʔu			tʰuabe	
BIG_7															hamataku															
BIG_8																				maʔatamaʔata~katakata~ʔakamatuu										
BIG_9								tamana																						
BIG_10						sore											toŋi	koorereka				tele								
BIG_11							nui			nui	nui	motua		nui		nue		nui	nui			nui	niu				nui			
BIRD_1	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manu	manulele	manu	manu	manu	manu	manu~maimua	manu	manurere	manu	manulele		manu	manu	manu	manu	manulele	manumanu	manulele
BIRD_2																							kivi							
BITE_1							nahu				ŋau			nahu											ŋau				ŋalia	
BITE_2						maŋuʃia																								
BITE_3																							nunu							
BITE_4									uu													u								
BITE_5									eki										ɡau											
BITE_6				ʔuu	utia					eti			eti							eti	uʔu	utia			uuti	uʔu			usia~esia	uʔu
BITE_7	kati							kati				ketʃia				kati	kati					ʔati			kati		kati			
BITE_8			paʔati												takiluu			kakati												
BITE_9			ʔooʔiniʔini																											
BITE_10																								hohoni						
BLACK_1														hivahiva													hiva			
BLACK_2		ʔeɢeʔeɢe																			ʔuɡi									
BLACK_3			ʔereʔere	ʔuli			ʔeleʔele		ʔuli	kerekere								kerekere	kerekere	kere				ʔereʔere		ʔuliʔuli	kere			ʔuli
BLACK_4																				ʔiva										
BLACK_5												paku																		
BLACK_6	uri				uri	uri		uli		uri			uli		riparara	uri	uli	uriuri		uri		uliuli	uli		uri		uri	uli	uli	
BLACK_7											maŋu																			
BLOOD_1	toto	toto	toto	toto	toto	toto	koko	dodo	koko	toto	toto	atoto	toto	toto	toto	toto	toto	toto	toto	toto	toto	toto		toto	toto	toto	toto	kelakela~toto	toto	toto
BLOOD_2																							haeko							
BONE_1													hui													hui				hui
BONE_2	ui					iui	iwi	iwi			iwi																			
BONE_3	ivi	iviivi	ivi	ivi	sui				ivi	ivi		teiβi	ivi	ivi	ivi	ivi	ivi	ivi	ivi	ivi	ibi	ivi	ivi	ivi	ivi		ivi	ivi	ivi	
BREAST_1															hatahata														hatahata	
BREAST_2													huhu													huhu				huhu
BREAST_3										kuperu				kiʔinene																
BREAST_4			tiitiiːti																					tiitiiːti						
BREAST_5												susu										susu								
BREAST_6	uu			uu		u	uu	uu	uu		uu			u	uu	uu	aloalo~wuu	uu~alo		uu	uu		uu		uu			uu		
BREAST_7		ʔouma	ʔoouma																ʔuu								koouma			
BREAST_8					mumu												uma	umauma												
BURN_1																						mu								
BURN_2																													ula	
BURN_3										kaʔa				hakauʔa																
BURN_4							ʔaa											kaa											khaa	
BURN_5		tutuʔi	ʔaʔaʔama																					tutuʔi						
BURN_6	tutu			susunu				dudu		tutu				tutu	ttuni		tutu	tutu	tutu	tutuŋi	tutu	susunu	tutu		tutu	tutu		tuɡia		tutu
BURN_7	tapu									taʔu			tafu							taʔu		tafu			tafu			tafu		
BURN_8	tuŋia				tuŋia	tuŋia	kuni	tuŋi	kuŋi		tahu	tuŋia	tuŋi			tahu					tuuŋia		tuunia				tuŋi~tahu			
CLOUD_1	ao						ao			ao				ao		oo		ao				ao			ao		ao			
CLOUD_2																							lehuna							
CLOUD_3													laɡi						raɡi											
CLOUD_4					ᵐboroa																								meluao	
CLOUD_5								kororaŋi				taeteraŋi								tumuraŋi							titi			
CLOUD_6									puulehu										kohu											
CLOUD_7		ata	ata	ʔao		boa														tiao	ʔao			ata		ʔao				ʔao
CLOUD_8																		kaikaiŋa										kaumana		
CLOUD_9											kapua				kaniva		kaapuao	kapua												
COLD_1			toʔetoʔe															toketoke	takeo	anutoketoke				toʔetoʔe			toketoke			
COLD_2	makariri			momoko~makalili	makariri	makaliɡi		makariri	maalili	makariri	makariri	makariri	makalili	makarere	makariri	makariri	makalili	makalili			makaɡiɡi	maluuluuːlu~maʔalili	makalili		makariri	momoko	makariri	makalili~maaluaːluluaːluːlu	maliki	makalili
COLD_3														kamariri																
COLD_4							anu			anu				anu		anu	ano			anu							anu			
COLD_5		haumaaɢuaːɢu																												
COME_1				ʔau						aʔu											aʔu									aʔu
COME_2																				taataaːtaʔi										
COME_3																			tuʔu											
COME_4					numai	ʰmai	mai								oomai		lolomai	naumai~romai				oomai				oomai	mai	mai		
COME_5	au												aua				jau	aro							au				au	
COME_6		haeɢemai						hani	haamai		haeremai			heʔemai				hanomai~haeremai					halemai	haeremai		haʔu		hau		
COME_7			ʔaeremai~ʔanomai									fenmai						taumai				sau								
COME_8														tihe																
COUNT_1	rau			lau													wakalau								rau	laua		lau		lau
COUNT_2							helu																							
COUNT_3		taiʔo	taiʔo																					taiʔo						
COUNT_4					taua	tau		dau	pau	touʔara	tatau	tao	totou	tau	ppau	tau	tatau	tatauaŋa~taale	tataku	tatau~taareaːre	tau	faitau	pau		tau			tau	phaua	
DIRTY_1									sava					hava		sava			hava				sava				hava			
DIRTY_2					uri	uriuri																								
DIRTY_3		ɢepo	repo				lepo										lepo	lepo		repo				repo						liko
DIRTY_4																			one											
DIRTY_5														paʔapaʔa						ʔavaʔava	paɡapaɡa									
DIRTY_6	parapara			palapala		paku		tokoria		paneu	paru	paku	pilo~palapala		kerekere		palanui~pakuoŋea	parapara				ʔeleʔelea	pela		kere	ʔuli		kelekelea~pala	pelapela~paku	palapala
DOG_1	korii	ʔuɢi	ʔuuriuːri	kulii	kuri	kuli	ʔiilio		poi	kurii	kurii	kori	kulii	kuʔi		kurii	puakaoa~kulii	kurii	kuri	kurii	kuɡi	ʔulii	kulii	ʔurii	kuri	kulii	kurio	kulii	kulii	kulii
DOG_2																						maile								
DOG_3								pana											paiheɡa											
DOG_4														nuhe																
DOG_5															manukaitama															
DRINK_1	inu	inu	unu	inu		inu	inu	inu	uŋu	inu	inu	unu	inu	inu	inu	inu	inu	inu	unu	inu		inu	unu	inu	inu	inu	inu	inu	inumia	inu
DRINK_2					βinu																									
DRINK_3																					mia									
DRY_1	pakupaku								paupaʔu				pakaka	pakaka	pakupaku		wakapakapaka		pakapaka			paʔupaʔu~paʔaʔa								
DRY_2																												tauaki		
DRY_3													maha																	maha
DRY_4		maɢo	maroo	maloo~masa	maro	masa~matu	maloʔo	maŋo		maro	maroke	matu		moʔo		masa	omoi	maroo		maroo	maɡoo~maamala	maŋo	masa	maroo	maroo~masa	moomoa	maroo		matʰuː~maŋoa	malo
EAR_1	tariŋa	taɢiʔa	tariʔa	taliɡa	tariŋa	tariŋa		daliŋa	kaliŋa	tariŋa	tariŋa	teriŋa	teliŋa			tariŋa	taliŋa	tariŋa	tariɡa	tariŋa	taɡiŋa	taliŋa	talina	tariʔa	tariŋa	teliŋa	tariŋa	taliɡa	taliŋa	taliɡa
EAR_2							pepeiao								kautarina															
EAR_3														pua																
EARTH (SOIL)_1											oneone								one										tuaone	
EARTH (SOIL)_2							honua																							
EARTH (SOIL)_3	kerekere			kele	kere	kere		ɡele	ʔele		kere	kere	kele		kerekere		palapala~kelekele						kele		kere	kelekele		kele	pela	kele
EARTH (SOIL)_4																					keɡe									
EARTH (SOIL)_5		ɢepo	repo				lepo			repo	repo			ʔepo		repo			repo	repo				repo			repo			
EARTH (SOIL)_6																						lalolaŋi								
EAT_1	kai		ʔai	omaki~kai		keina	ʔai	ɡai	ʔai	kai	kai	kai	kai	ʔai	kai	kai			kai	kaiŋa	kai	ʔai	kai		kai	kai	kai	kai	kai	kai
EAT_2		ʔamu			kaikai												kaikai	kaikai						ʔamu						ʔomaki
EAT_3					foro																									
EAT_4																	tamitami													
EGG_1				niuniu				ŋoko																						
EGG_2										maamarimoa				mamaʔi					maamari											
EGG_3																							tamamoa			foʔimanu				
EGG_4																	wuamoa			ua										
EGG_5												atolu							toua								toouo			
EGG_6	puai		ʔua	fua	fuamoa																	fuaamoa			fuei			fua		
EGG_7							hua		hua		huamanu				hua	hua					hua			huero						
EGG_8		hueɢo									heeki																		hatukio	
EGG_9						vahvaka																								
EYE_1														korohi				kanohi					kale							
EYE_2	mata	mata	mata	mata	mata	mata	maka	mata	maka	mata	mata	mata	mata	mata		mata	mata	mata	mata	mata	mata	mata		mata	mata	mata	mata	mata	mata	mata
EYE_3															kanamata					kanoʔi										
FALL_1							haaʔule	hiŋa						hina	heke				hiɡa								hiŋa			hiɡa
FALL_2														huutehenua																
FALL_3																	jiijiŋa													
FALL_4			marua	malele						marere	makere	melu	mokulu	mokuʔu~mekeʔe			makulu			marere~makuru							marere~makiri		meu~emo	malele~mokulu
FALL_5				siɡa					siŋa							siŋa	paŋulu			ʔiŋa			sina		siŋa					
FALL_6	remo																													
FALL_7														viʔi								paʔuu								
FALL_8				too	to												too				too	too				too		too		
FALL_9		topa	topa			takaifo				topa				topa				topa	topa	topa				topa			topa			
FAR_1			aatea																					aatea						
FAR_2	mamao			mamaʔo	iᵐbua		mamao	mokoa	mao	mamaʔo		imao	mamao	memaʔo	mmao	momoo	mamao	momoo		mamao	mamaʔo	mamao	mmao		mao	mamaʔo		mamao	mao	mamaʔo
FAR_3				taumamaʔo															kumi								taumamao			taumamaʔo
FAR_4						pʰai																								
FAR_5																		hakarere												
FAR_6											tafiti																			
FAT (ORGANIC SUBSTANCE)_1									sunu			kanainai				sunu				ʔinu		suni	sinu		sinu					
FAT (ORGANIC SUBSTANCE)_2										hinu			huni	hinuʔama													hinu			huni
FAT (ORGANIC SUBSTANCE)_3								kiris						kerehi																
FAT (ORGANIC SUBSTANCE)_4	momona						momona								moomona							momona								
FAT (ORGANIC SUBSTANCE)_5																	tooŋaoːŋaua												utouto	
FAT (ORGANIC SUBSTANCE)_6		poɢia																												
FAT (ORGANIC SUBSTANCE)_7										matatere							matuu													
FAT (ORGANIC SUBSTANCE)_8			miʔi	ɡako	ŋako	ŋako					ŋako		ɡako				ŋako		nako	ŋako	ŋako	ŋaʔo		miʔi		ŋako		ɡako		
FEATHER_1		huɢuhuɢumanu									hurumanu			huʔumanu																
FEATHER_2							hulu	ŋahuru								huru		huruhuru	huruhuru					huruhuru			huru		hulu	
FEATHER_3												wero					wulu													
FEATHER_4	puru		ʔuruʔuru	fulu	ᵐbala	furu			palaa	ʔuru			palaa		paraa					ʔuruʔuru	pala	ʔula~fulu	palaa		furu	fulufulu		fulu		palaa
FEMALE PERSON_1																		tamahine	tama											
FEMALE PERSON_2		vahine					wahine	ahina	hiŋe		wahine			hine~vehine	hahine	hine~vahine		vahine	bahine		hine~hahine		hine~hahine	vahine			hiine~vahiine		hana~hahine	
FEMALE PERSON_3	papine		vaʔine	fine	fafine	fafine				ʔaʔine~ʔine		tefine	fine~fifine							ʔine~vaʔine		fafine			fine	fefine		fafine		fine
FEMALE PERSON_4																	waawine													
FIRE_1		auahi					ahi	ahi	ahi		ahi			ahi	ahi	ahi		ahi	ahi		ahi		ahi	auahi			ahi			
FIRE_2	api		auaʔi	afi	afi	afi				aʔi		afi	afi							aʔi		afi			afi	afi		afi	keu	afi
FIRE_3																	awi													
FIRE_4																												kavakava		
FISH_1	ika	iʔa	iʔa	ika	ika	ika	iʔa	iɡa		ika	ika	ika	ika	iʔa	ika	ika	ika	iika		ika	ika	iʔa	ika	iʔa	ika	ika	paru	ika	ika	ika
FISH_2																			ʔiika											
FISH_3									kaŋaha																					
FIVE_1	nima			lima	rima	rima	lima	lima	lima	rima	rima	erima	lima		rima	rima	lima	lima	rima	rima		lima	lima	rima	rima	nima	rima	lima	lima	nima
FIVE_2		pae	pae											ʔima							ɡima			pae						
FIVE_3																		taapahi												
FLESH OR MEAT_1																							io						io	
FLESH OR MEAT_2									aŋohi																					
FLESH OR MEAT_3												pakasi																		
FLESH OR MEAT_4																														meʔakai
FLESH OR MEAT_5		ʔiʔo	ʔiʔo~ʔiinaʔi				ʔiʔo			kiko	kiko		kiko~kakano	kiko		kiko	kiko	kiko	kiko	kiko		ʔiʔo~ʔaʔano		ʔiʔo			kiko			
FLESH OR MEAT_6	kanofi			kanofi		kʰano		kano							kanohi						kano				kanofi	kano		kanofi		
FLESH OR MEAT_7					kanmate																									
FLOWER_1								akai	uke												laka									
FLOWER_2																													imea	
FLOWER_3		tiaɢe		fiti	serakau								fiti																	fisi
FLOWER_4															purupuru											kakala				
FLOWER_5												fuma										fuŋa								
FLOWER_6	pua		tiare	see		se	pua			tiare~pua	puaawai			pua		pua	pua~tiale	tiare	pua	pua			see	tiare	see		pua	pula		
FLY (MOVE THROUGH AIR)_1			ʔaʔamaraʔa														pepeke													
FLY (MOVE THROUGH AIR)_2		ɢeɢe																			ɡeɡe									
FLY (MOVE THROUGH AIR)_3																										puna				
FLY (MOVE THROUGH AIR)_4								maaŋi																						
FLY (MOVE THROUGH AIR)_5														ona																
FLY (MOVE THROUGH AIR)_6	rere		rere	lele	rere	rere	lele		lele	rere	rere	rere	lele		rere	rere	lele	rere	rere	rere		lele	lele	rere	rere		rere	lele	lele	lele
FLY (MOVE THROUGH AIR)_7															herrei															
FLY (MOVE THROUGH AIR)_8																					eba									
FOOT OR LEG_1				vaʔe					kapuae	aʔape									vaʔe	tapuae	baʔe		tapuae			vaʔe				vaʔe
FOOT OR LEG_2			ʔaavae																					ʔaavae						
FOOT OR LEG_3	vae				βae	vae			vae			βae	vee	vae	vae	vae	vae			vae		vae	vae		vae		vae	vae	vae	
FOOT OR LEG_4							waawae	wae			waewae							waewae												
FOOT OR LEG_5		umaha																												
FOUR_1	paa		ʔa	faa	fa	fa				ʔa	faa	efa	faa	faa				faa		ʔaa		efaa			faa	faa		faa		faa
FOUR_2		maha					haa	haa	haa						haa	haa			ha		haa		haa	maha			haa		haa	
FOUR_3																	waa													
GOOD_1		maitaʔi	maitaʔi				maikaʔi							meitaʔi		maitaki		maitaki		meitaki				maitaʔi			meitaki			
GOOD_2									kau		pai						kalule													
GOOD_3																					ŋɡaoi									
GOOD_4										porotu																				
GOOD_5															taurekareka	reka	leka		reka	reka			leka		rekareka		reka			
GOOD_6														ʔeka																
GOOD_7														kanahau																
GOOD_8				maalie	sumarie			humalia		marie		merie	melie			suumariŋa						malie								maalie
GOOD_9	rerei					rufie											lelei		rivariva			lelei				lelei		lelei	lavoi	lelei
GRASS_1									veve								vajavaja						veve							
GRASS_2	vao										karaaihe																		kaoa	
GRASS_3			matie	mutie	mauku		mauʔu			mutie				mutie	mouku	mauku			mouku	matie~mauku	mutie	mutia		matie	mauku	mohuku	moouku	mouku		musie~mohuku
GRASS_4						ŋafari																								
GRASS_5												manamu																		
GREEN_1															uri		ujiŋele												uiui	
GREEN_2																						usiusi								
GREEN_3												keskesa		ʔoutiteʔe																
GREEN_4	kepu								kea																kefu					
GREEN_5											kaakaaːkariki																			
GREEN_6																				ʔakamatie										
GREEN_7					matamata		maʔomaʔo																	niinamu						
GREEN_8													lanulaukou															lanulauniu		
GREEN_9	mata	matie	matie	moto		moto~rauneamaʰmata				moto						matie			mata	taamatie	moto	lanumeamata	moto	matie	mata	lanumata	matie			moto
HAIR_1	puru			fulu	fereuru	furu							fulu							ʔuru					furu			fulufulu		fulu
HAIR_2			rouru	lauulu		rauru			laulu	rauoʔo		rouru	lauulu		rauru		wuluwulu~lauulu	rauru		rauru		lauulu	laulu	rouru	rauuru	louʔulu	roouru		laulu	lauulu
HAIR_3							lauoho							ʔouoho																
HAIR_4														huʔu							huɡu									
HAIR_5								ŋahuru~hulu								huru			oho~huruhuru								huru			
HAIR_6		huɢuhuɢupoʔo																												
HAIR_7											makawe																			
HAND_1																				kapu							kapu			
HAND_2	nima~rima	ɢima	rima	lima	rima	rima	lima	lima	lima	rima	riŋa	rima	lima	ʔima	rima	rima	lima	rima	rima	rima	ɡima	lima	lima	rima	rima	nima	rima	lima	lima	nima
HEAD_1	uru				nauru	uru							ulu				ulu	ulu				ulu					uru	ulu		
HEAD_2			pao	ʔulu								kele														ʔulu				ʔulu
HEAD_3																					ʔuɡu									
HEAD_4									poho														poho					piho	pihoulu	
HEAD_5										oʔo				uʔu																
HEAD_6		upoʔo	upoʔo				poʔo	liboɡo		upoko	upoko			upoko	pokouru	upoko		upoko	puoko	upoko				upoʔo	poko		upoko			
HEAR_1														ʔono							ɡoŋo									
HEAR_2	roŋo			loɡo		raŋona		loŋo	loŋo		roŋo	roŋona			rono	roŋo	laŋona	laŋona		roŋo			lono		roɡo		roŋo	loɡo	loŋo	loɡo
HEAR_3		haʔaɢoʔo					hoʔolono																							
HEAR_4			ʔiiroʔaroʔa		fanoŋo					ʔakaroŋo			faanoŋo									faʔaloŋo		faʔaroʔo		fenoŋo				
HEAR_5																			ɡaroʔa											
HEAVY_1										kikikiki																	tuʔatuʔa			
HEAVY_2	mamafa			mamafa	mamafa	mafa		maha	maha			mafa	mamafa								mamaha	mamafa	mmaha		mafa	mamafa		mamafa	maha	mamafa
HEAVY_3			tiaʔa											toko						teimaʔa										
HEAVY_4														tono			taewana													
HEAVY_5		toimaha					kaumaha			teimaha	taimaha				taenaha	taimaha		taimaha	paɡahaʔa					toiaha						
HOLD_1													hapo																	hapo
HOLD_2										taamau						taŋo	taŋo			taŋo							taŋo	taɡo		taɡo
HOLD_3					tauai			tahi	kaohi						taaohi								taaohi							
HOLD_4		ɢave										puatia									ʔoso									
HOLD_5																									fesu					
HOLD_6			taapeʔa	sapo							pupuri										pipiki			taapeʔa	sapo					
HOLD_7	kuku			kuku		kumia	paʔa						kuku	ʔiʔima		kuku			kuku	kukua		ʔuʔu			puke~kuku	kuku		puke	pikia	puke~kuku
HOLD_8														mau				mau												
HOLD_9																	liko		aaru											
I_1	kau	vau	vau	ku~kau	kou	avau						aβau	ku~kau	ʔu			aku	koau		ku	ku~kau	aʔu		vau	ku~kau		ku	aku		koau
I_2			au			au	au	au	aŋau	au	au			au	nau	au	au		au	au			au	au		ou	au		au	
KILL_1			ta						kaa				taa			taa		taa		taa	taa		taa		ta				taia	
KILL_2														pehi										taparahi			taparahi			
KILL_3							hoʔomake							haʔamate																
KILL_4	tamate		ʔaʔamate	tamate	teiakemate	ʃiakamate				tinaʔi	patu	teiamatia			tiinai		patu	patu		putu~taamatemate		taamate~fasioti				taamateʔi	patu	taamate	tamatea	tamatei
KILL_5								taliki						kukumi					tiɡaʔi	kikini										
KILL_6																		pehikitetoka												
KNOW (SOMETHING)_1																										ʔilo				ʔiloʔi
KNOW (SOMETHING)_2	poto	ʔite	ʔite	poto			ʔike			kite						kite		kite		kite				ʔite	poto		kite			
KNOW (SOMETHING)_3												taea											atamai							
KNOW (SOMETHING)_4				masani~maatino													maawutu	maarama		maatau	maatino						maatau			
KNOW (SOMETHING)_5											moohio			hani																
KNOW (SOMETHING)_6	iroa				iroa	iroa		iloo	ailoa				iloa		iloa		iiloloa		aɡi			iloa	iloa		iloa			iloa	iloa	
KNOW (SOMETHING)_7																	wanewane													
LAUGH_1	kata	ʔata		kata	kata	kata	ʔaka	katakata	ʔaka	kata	kata	kata	kata	ʔata		kata	kaakata	kata	kata	kata	kata	ʔata	kata	ʔata	kata	kata	kata	kata	kata	kata
LAUGH_2			ata												piha															
LEAF_1		ɢaueɢe												ʔau							ɡau									
LEAF_2	rau		rauʔere	lau	raurau	rau	lau	rou	lau	rau	rau	rau	au		rau	rau	lau		raupa	rau		lau	lau	rauʔere	rau	lou	rau	lau	lau	lau
LEAF_3																												mulo		
LIE DOWN_1			taarava~tiiraʔa																											
LIE DOWN_2	takoto		tiipapa						kaʔoko	ʔakaearaŋa	takoto		takoto		takoto	takoto	takoto	takato		ʔakatiipapa		taʔoto		taʔoto		tokoto	takoto	fakapale	takoto	takoto
LIE DOWN_3																				ʔakatakoto										
LIE DOWN_4				moe	moe	moe		moe				moe		moe			moekilalo		moe	moe	moe		moe		moe			moekilalo		
LIE DOWN_5							hinamoe																							
LIE DOWN_6		tiiɢaha																												
LIE DOWN_7																		roharoha												
LIVER_1	ate		ate		ate	ate	ake	ade		ate	ate	ate	ate	ate	ate	ate	ate	ate	ate	ate		ate	ate		ate		ate	ate	ate	
LIVER_2		ʔuupaʔa	ʔupaʔa																					ʔupaʔa						
LIVER_3				ʔate					ʔate	kakaroumei											ʔate					ʔate				ʔate
LONG_1	roa		roa	loa			loa	loo	loa	roa	roa		loa		rooroa	roa	loa	roa	roa	roa		loloa	loa	roa	loa	looloa	roa	loa	loa	loa
LONG_2					leβaleβa	pʰalo																								
LONG_3		ɢoa												ʔoa							ɡoa									
LONG_4																						ʔumi								
LONG_5												totoe																		
LOUSE_1				tuma									tuma													tuma				tuma
LOUSE_2	kutu	ʔutuʔu	ʔutu	kutu	kutu	kutu	ʔuku	ɡudu	ʔuku	kutu	kutu	kutu	kutu	ʔutu~kutupapa	kutu	kutu		ŋutu	kutu	kutupapa~kutu	kutu	ʔutu	kutu	ʔutu	kutu	kutu	kutu		kutu	kutu
LOUSE_3																	lia													
MALE PERSON_1	tamaaroa~taŋata	taane	taane	taɡata	taŋata	taane	kaane	daane	kaŋe	taŋata~tamaroa	taane	tane	taane	toa~tane~tamaʔoa	tanata	taane	taane	taŋata	tane	taane~tamaroa	taŋata	taane	tanata~taane	taane	taane	taŋata	taane	taane	taŋata	taʔane
MALE PERSON_2																		roopaoːpa												
MALE PERSON_3														heko													haakoi			
MALE PERSON_4																													mhe	
MOON_1	maaina			maasina	masina	marama	mahina	maahina	malama	maʔina~maaʔina	marama		mahina	meʔama	marama	marama	maina	marama	mahina	marama	maasina	maalama~maasina	malama		marama	maahina	hina	maalama		maahina
MOON_2												aŋale																		
MOON_3		ʔaavaʔe	ʔaavaʔe																					ʔaavaʔe						
MOON_4																													akahu	
MOUTH_1							waha				waha																			
MOUTH_2		vaha						haha								vaha		vaha	haha					vaha			vaha			
MOUTH_3	ŋutu			ɡutu	ŋutu			ŋudu				ŋutu	ŋutu	nutu			ŋutu	ŋutu	ɡutu		ŋutu	ŋutu			ŋutu	ŋutu	ŋutu	ɡutu	ŋutu	mutu
MOUTH_4									puʔu						pukua								pukua							
MOUTH_5			vaʔa			fafa				ʔaʔa				fafa						vaʔa										
NAME_1													hiɡoa													hiŋoa				hiɡoa
NAME_2	iŋoa	iʔoa	iʔoa	iɡoa	iŋoa	iɡoa	inoa	iŋoo	iŋoa	iŋoa	iŋoa	iŋoa		ikoa	inoa	iŋoa	iŋoa	iŋoa		iŋoa	iŋoa	iŋoa	male	iʔoa	iɡoa		iŋoa	iɡoa	iŋoa	
NAME_3																			ʔiiɡoa											
NEAR_1								hoho											hahine											
NEAR_2																	pili								piri			pili		
NEAR_3	nei			nei					ŋei																					
NEAR_4				ofi																						ofi				
NEAR_5																						lata							leuetʰaki	
NEAR_6																					hitaiaki									
NEAR_7			ʔatata		fefetai	tata				tata	tata	etata	tata	tata	taupirimai	tata	vaatata		tupuaki	tata		vaalata~tafatafa	taupili	faatata			tata			tata
NEAR_8							kokoke																							
NEAR_9																		taha												
NECK_1																					uʔa									uʔa
NECK_2	ua				ua			ua			ua		ua				ua					ua	ua		ua		ua	ua	ua	
NECK_3				ʔua		penaaua			ʔua						koomanu				ɡao							kia				kia
NECK_4		ʔaɢapoʔa	ʔaʔii				ʔaaʔiaːʔi			kaki		popo		kaakiaːki		kakii	kakii	kakii		kakii				ʔaʔii			kaakiaːki			
NEW_1			aapiaːpi																					ʔaapiaːpi						
NEW_2	pou	aapi			fou	fou				ʔou		fou	foou					foou		ʔoou		fou			fou			foou		
NEW_3							hou	hoou	hoou		hoou			hou	hoou	hoou							hou				hoou		hou	
NEW_4				foʔou															hoʔou		hoʔou					foʔou				foʔou
NEW_5																	wou													
NIGHT_1	pouri~poo	poo	poo	pooʔuli	po	po	poo	boo	poo	poo	poo	po	pouli~poo	poo	poo	poo	poo	poiri~poo	poo	poo	poo	poo	poo	poo	poo	poo	poo	taiao~poouli~poo	poo	pooʔuli~poo
NIGHT_2																											ruki			
NO OR NOT_1									he														heai							
NO OR NOT_2																														heʔe
NO OR NOT_3					e									ieai			jee					leai								
NO OR NOT_4																												mooe		
NO OR NOT_5																			taʔe					ʔaita						
NO OR NOT_6	kairo	eʔere	eʔore				ʔole			kore	kaahore					kare	kaakole~kaani~kaaji~kiai	ekore	inakai	kaaʔore		iʔai						ikai		
NO OR NOT_7				see				tee				sai	tee	tee	te						siai				siei				siai	
NO OR NOT_8						ʃikai														ʔauraka	siʔai					ʔikai	kauraka			
NOSE_1															kaihu								kaiusu							
NOSE_2			putaeʔu																	putaaŋi									poŋaiu	
NOSE_3				isu	isu	isu			aisu~isu	iʔu		usu				isu		isu			isu	isu			isu					
NOSE_4		ihu					ihu	uuhiu			ihu		ihu	ihu					ihu					ihu		ihu	ihu	ihu		ihu
NOSE_5	iu																iju												iu	
