	Arem	Chứt (Mày)	Chứt (Rục)	Chứt (Sách)	Hung (Liha)	Hung (Phong)	Hung (Toum)	Maleng	Mương (Hòa Bình)	Mương (Sơn La)	Nguồn	Thavưng	Thổ	Vietnamese
BITE_1	kămˀ	kɤ̤̆m⁴	kəʌm	kɐm⁴	kaːt	kaːt	kaːt	kĭɳ³⁴³	kaɲ³	kaɲ³	kăn³		kam⁴	kăŋ⁴⁵
BITE_2												tuh³		
BLACK_1								ɳɯ̆m³⁴	jəm¹	jəm¹		ɲum²		
BLACK_2	tʰiːu̯	tɛn¹		tɛn							tɛn¹			ɗɛːŋ³³
BLACK_3			tɛntɛn											
BLOOD_1									maw³	maw³	maw³			mau̯⁴⁵
BLOOD_2	atʰɛa̯mˀ		asam	asaːm³		saːm	saːm					tamuː¹		
BLOOD_3		ʔaɕam³												
BLUE OR GREEN_1								salɛːw³²⁴				salɛːw¹		
BLUE OR GREEN_2	ɕɛi̯ɲ	ɕeŋ¹	sĭŋ	seŋ							sɛɲ¹			san³³
BODY LOUSE_1											reɲ⁴			ɹəŋ²¹²
BODY LOUSE_2		ɓlĭŋ³	briɲ	briɲ³	pʰlʌɲ	pʰliŋ	pʰlɛɲ		kʰiɲ³	fəɲ⁴⁵			pʰriɲ³	
BODY LOUSE_3	n̩rei̯ɲˀ													
BODY LOUSE_4												hahiŋ³		
BODY LOUSE_5								ma³hriɳ³⁴³						
BONE_1	ɕie̯ŋ	ɕaŋ²	saŋ	saːŋ²				sɤŋ³	sɨaŋ¹	sɨaŋ¹	sɨəŋ¹		sɨəŋ¹	sɨːŋ³³
BONE_2												tkoːk²		
BREAST_1	nɒːi̯	nɔi̯⁴	nɔj	nɔːj³	now	nuː	now							
BREAST_2								panṵ³⁴³	puː³	puː³	ʔu³	panuː	ʔuː³	vu⁴⁵
BURNING_1					plaot	ploːk	plaot							
BURNING_2								kĭɳ³			pɔŋ²			
BURNING_3	ʨaːlˀ											cal¹		cai̯⁴⁵
CLAW OR NAIL_1		kutoŋ¹	kə̆ntoŋ	katoːŋ¹		ksam		kasăm³⁴³				ksam¹		
CLAW OR NAIL_2											mɔŋ³			mɔŋ͡m⁴⁵
CLAW OR NAIL_3					sam		sam						sam¹	
CLAW OR NAIL_4	n̩tɒŋ													
CLOUD_1	ʑɯːl					kmil								
CLOUD_2		mɤ̆l¹	mə̆l	məl¹	mun		mʌl	mek³	maə¹	məl¹	mə̆n¹	meːk	mʌl¹	məi̯³³
DIE_1	ʨiːt			ciːt⁵²	ceːt	ceːt	ceːt		ceːt⁵²	ceːt⁵²		cəːt¹	ceːt⁵²	cəːt⁴⁵
DIE_2		kɯcit³	kacit					kacɛt³⁴						
DOG_1	aʨɒʔ		acɔ	acɔː³	cɔː	cɔː	cɔː	cɔ̰³⁴³	cɔː³	cɔː³		cɔː¹	cɒː³	cɔː⁴⁵
DOG_2		ʔacɔ³												
DOG_3											xwjen⁵			
DRINK_1		ɲo⁴	ɲu	ɲuː⁴	ɲoː⁴⁵	ɲoː⁴⁵	ɲuː⁴⁵	ɳõ³⁴³				ɲuː²	ɲoː⁴	
DRINK_2									ʔɔːŋ³	ʔɔːŋ³	ʔɔːŋ³			ʔuːŋ⁴⁵
DRINK_3	ɲəu̯ʔ													
DRY_1	kʰoː		kʰo	kʰo	kʰaw						xo¹		kʰɔː¹	xoː³³
DRY_2		ɽɔh¹						ɬɔh³						
EAR_1						patsaːj	batsaːj							
EAR_2	tʰaːi̯	ɕai̯¹	saj	saːj¹	saːj			saj³	tʰaːj¹	saːj¹	taj¹	saːj¹	saːj¹	taːi̯³³
EARTH (SOIL)_1		ɓɤn³	bən	bɤnʔ										
EARTH (SOIL)_2	atăk				tɔt	tit	tʌt	atăk⁴	tʌt⁵²	tʌt⁵²	tə̆t⁵²		tʌt⁵²	ɗək⁴⁵
EARTH (SOIL)_3												ʔataːk³		
EAT_1	ʔăn	ʔăn¹	ʔăn	ʔan	ʔan	ʔan	ʔan	ʔan³				ʔan¹		ʔăŋ³³
EAT_2											ăn¹			
EGG_1		talul³	təlul	tuluːl³				talṵl³⁴³				tulun³		
EGG_2					klaəŋ	kləːŋ	klaəŋ		kləŋ³	kləŋ³				
EGG_3											ʈəŋ³			ʈɨŋ⁴⁵
EGG_4	uluːlˀ													
EGG_5													lɨən¹	
EYE_1	mʌat	mat⁴	mə̯ʌt	mə̆at⁵³	mat	mat	mat	măt³⁴	mat²	mat²	măt⁵²	mat¹	mat⁵³	măk⁴⁵
FALL_1			tlɔ									tʰaloːj⁴		
FALL_2								ɬuj³⁴³			po⁵			
FALL_3	ru				ɣaəc		ʰlaəc							
FALL_4		ɽa̤h²		ruh²										
FALL_5														ɹəːi̯³³
FAR_1	ŋaːi̯				ŋaːj	ŋaːj	ŋaːj						ŋaːj³	
FAR_2		ɕiŋai̯³	cə̆ŋaj	təŋaːj³				saŋa̤j³⁴³			sa¹	sŋaːj²		saː³³
FAT (ORGANIC SUBSTANCE)_1									məː⁵¹	məː⁴⁵	mə⁵		məː⁵¹	məː²¹⁴
FAT (ORGANIC SUBSTANCE)_2												atuː¹		
FAT (ORGANIC SUBSTANCE)_3	tluŋ	klŭŋ¹	kluŋ	tluŋ²										
FAT (ORGANIC SUBSTANCE)_4						puːj								
FEATHER OR FUR OR HAIR_1									loːŋ¹	loːŋ¹	loːŋ²ʔ		lɔːŋ¹	lɔŋ͡m³³
FEATHER OR FUR OR HAIR_2	utʰŭk		usuk	suk⁵²										
FEATHER OR FUR OR HAIR_3		ʔuɕŭk³						ʔaso̰k³⁴						
FIRE OR FIREWOOD_1	ku	kul̥³	kur	kuːlʰ¹	kuːc	kuːt	kuːc		kuːj⁵	kuːj⁵	kun⁵	kuʤʰ²	kuːl⁵¹	
FIRE OR FIREWOOD_2								kuih³						
FIRE OR FIREWOOD_3														lɨə²¹⁴
FISH_1	akɛa̯ʔ		ka	akaː³	kaː	kaː	kaː	aka̰³⁴³	kaː³	kaː³	ka³	kaː¹	kaː³	kaː⁴⁵
FISH_2		ʔaka³												
FLESH OR MEAT_1									ɲuk⁵²	ɲuk⁵²				
FLESH OR MEAT_2	tʰit	ɕit⁴	sit	sit⁵³	siːt			sit⁴			tit⁵³		siːt⁵³	tʰɨt²¹²
FLESH OR MEAT_3												mɛːŋ²		
FLY (MOVE THROUGH AIR)_1	păl	pɤ̆l¹	pəl	pəl¹	pɔn	pil	pʌl	pɤ̆l⁴	paə¹	pal¹			pʌl¹	ɓai̯³³
FLY (MOVE THROUGH AIR)_2												hul¹		
FOOT_1	ʨiŋ	ciŋ²	ciŋ	ciːŋ²				siŋ³	cən¹	cən¹	cɔ²	ciːŋ¹	kaŋ⁵	cəŋ³³
FULL_1	paɲ	ɓlăm¹	blăm	blam	blam	blam	blam						pleː³	
FULL_2											lăm¹			
FULL_3								pĭc³⁴						
FULL_4														ɗəi̯²¹
GIVE_1	ʨɒː	cɤ¹	cʌə	cɤ	caə		caə	cɤ³			cɔ¹			cɔː³³
GOOD_1		hăi¹	haj											
GOOD_2				tʰot				di³			toːt⁵²	diː		tok⁴⁵
GOOD_3	ʔie̯m													
HAIR (HEAD)_1	utʰŭk		usuk	suk⁵²	sok	suk	sok		tʰak⁵²	sak⁵²	tăk⁵²	sɔk¹		tɔk͡p⁴⁵
HAIR (HEAD)_2								kɤ̰j³⁴³						
HAIR (HEAD)_3		ʔuɕŭk³												
HEAD_1		kulo̤k⁴	kŭluok	kulok⁵³	kloːk	kloːk	kloːk	kalṵk³⁴	kloːk⁵²	kloːk⁵²	ʈoːk⁵²	ʔɔːk¹	kloːk⁵³	
HEAD_2	ulŏk													
HEAD_3														ɗəu̯²¹
HEAD LOUSE_1	ʨiʔ	ci³	ci	ciː³	cəi	ciː	cei	cḭ⁴³	ciː³	ciː³	si³	kəː²	ciː³	cəi̯⁴⁵
HEAR OR LISTEN_1									maŋ¹	maŋ¹				
HEAR OR LISTEN_2					ŋɛː	ŋɛː	ŋɛː				ŋɛ¹			ŋɛː³³
HEAR OR LISTEN_3			cămaŋ	cəmaŋ³										
HEAR OR LISTEN_4		taŋet³												
HEAR OR LISTEN_5												hapaŋ²		
HEAR OR LISTEN_6								ŋet³⁴tohearʔ						
HEAR OR LISTEN_7	ta³³ma̤ŋ³²tolistenʔ													
HEART_1		toŋ¹	toŋ	toːŋ¹	sɛːm	seːm		tɒ̆ŋ³²⁴			tim¹	ɲiːm¹	tiːm¹	tim³³
HEART_2	laŋo													
HEAVY_1		năŋ³	naŋ	naŋ³	naŋ	naŋ	naŋ		naŋ⁴	naŋ⁴⁵	năŋ⁴		naŋ³	naŋ²¹²
HORN (ANATOMY)_1	takaːi̯											tkɔːj¹		
HORN (ANATOMY)_2		ʂɯ̆ŋ²	krɨŋ	ʈəŋ²	kʰlɔŋ	kʰrɨŋ	kʰlʌŋ		kʰɨŋ²	kʰəŋ²			kʰrɨŋ²	sɨŋ²¹
HORN (ANATOMY)_3											ʃɨŋ²djaj¹			
I_1	kɯʔ							ʔeŋ				kan³		
I_2											tɔ¹			taːu̯³³
I_3			ho	ho	saw		saw							
I_4		ʔaho¹												
KILL_1											jɨet⁵²		jjɛt⁵²	jiːk⁴⁵
KILL_2	kaʨit		kacit	kəciːt⁵²		pceːt								
KILL_3		cit³												
KILL_4					ʄjɛth									
KILL_5												pɔh¹		
KNEE_1			kŭluoktŭkul									ʔɔːkʔakuːl		
KNEE_2		kulo̤k⁴takul³												
KNEE_3								kalŭk³⁴kul³⁴						
KNEE_4														ɗəu̯²¹ɡoːi̯⁴⁵
KNEE_5					kunkuːn		kulkuːl							
KNEE_6	lukulˀ			təkuːl³										
KNEE_7											ʈok⁵²kon³			
KNOW (SOMETHING)_1	hiː	hi¹	hi	hi								huʔ		
KNOW (SOMETHING)_2								ɬo³⁴³						
KNOW (SOMETHING)_3														ɓiːk⁴⁵
LEAF_1		ʔula³						salwa̰³⁴³				slaː⁴		
LEAF_2			ŭla	laː³	laː	laː	laː		laː³	laː³	la³		laː³	laː⁴⁵
LEAF_3	ulɛa̯ʔ													
LIE (REST)_1		ɲap⁴	nʌp				lam	năm³²⁴			năm²	nam¹		năm²¹
LIE (REST)_2	pi													
LIE (REST)_3				təŋah¹										
LIVER_1	luom	lɔ̤m²	ləɔm	loɔm²	lɔːm	lɔːm	lɔːm	lɒm³²⁴	lɔːm²	lɔːm²	kan¹	lɔːm¹	lɔːm²	ɡaːŋ³³
LONG_1		ʑa̤l²	ʔjal	ʤal				zon³	zaːj²	zaːj²				
LONG_2											jaj²			jaːi̯²¹
LONG_3	lɤːŋ				jaon	joːn	jɔːn					joːn	jɔːn¹	
MOON_1				matʈaŋ							măt⁵³ʈăŋ¹			
MOON_2		pala̤n²	pŭləan		plɔːŋ	plɔːŋ	plɔoŋ		klaŋ¹	plaŋ¹		paloːŋ¹	plɔŋ²	ʈăŋ³³
MOON_3								tʰala³²⁴						
MOON_4	n̩ra													
MOUNTAIN_1			cɨt	bluʔ										
MOUNTAIN_2		kon²						pʰŏn³⁴³				ʔaloːŋ⁴		
MOUNTAIN_3	ɗu				pʰlow	pʰluː	pʰlow		toːə²	toːl²			pʰraw³	
MOUNTAIN_4														nui̯⁴⁵
MOUNTAIN_5											lɛn²ta³			
MOUTH_1	kɛa̯ŋˀ	kaŋ³	kaŋ	kaːŋ³										
MOUTH_2								mɜ̆ɳ³⁴	moːm²	moːm²	mom²		mɔːm¹	miːŋ²¹²
MOUTH_3												snuːj⁴		
NECK_1		nɔŋ⁴										nəːt³		
NECK_2								katăŋ³						
NECK_3			tə̆ke	təkiː⁴										
NECK_4	ukin				kaw	koː	kaw		kɛːə¹	kɛːl¹	ko⁵			koː²¹⁴
NEW_1		ɓɤi̯³	bəj	bɤi̯	baːj	bəːj	baəj		məːj³	məːj³	məj³		bəːj³	məːi̯⁴⁵
NEW_2	mɛa̯h													
NEW_3								tamə³²⁴						
NIGHT_1	lɯmˀ	lɯ̆m⁴	lɨm	lum	tɛːm	teːm	taem				tem¹	ʔamah³	teːm¹	ɗeːm³³
NOSE_1	mu	mul³		muːlʰ¹	muːc	muːt	muːc	mṵʤʰ³	muːj⁵¹	muːj⁴⁵	mun⁵	muʤʰ¹	muːl⁵¹	mui̯²¹⁴
NOSE_2			mwʌh											
OLD (USED)_1		kɯɽa¹			koː	koː	koː	tʰala³²⁴				tʰaw¹		ku²¹⁴
OLD (USED)_2	ulɔː													
OLD (USED)_3				kamɐk⁵³										
OLD (USED)_4			tɨjtɨj											
ONE_1	mui̯c	muc⁴	moi̯c	mʊːc⁵³	moːc	moːt	muːc	moc³⁴	moːt⁵³	moːc⁵³	mot⁵³	muːt¹	moːt⁵³	mok²¹²
PATH OR ROAD_1		ta̤ŋ²	tɨaŋ	tɯa̤ŋ										
PATH OR ROAD_2					kʰlaː	klaː	kʰlaː		tʰaː³	kʰaː³		kʰalaː²		
PATH OR ROAD_3	urɛa̯ʔ													
PATH OR ROAD_4														jɨə̯ŋ²¹
PATH OR ROAD_5											taŋ²ti¹ʔ			
PERSON_1		ŋai̯²	ŋaj								ŋaj²			ŋɨːi̯²¹
PERSON_2				kɔːn¹	kun	kun	kɔn	kʰŏn³				kon		
PERSON_3	ʨʌmrău													
RAIN (PRECIPITATION)_1	mia				maː		maː		mɨa¹	mɨa¹	mɨa¹	maloːj²	mɐː²	mɨə³³
RAIN (PRECIPITATION)_2		kuma̤²	kŭmʌa	kuməa²		kʰmaː								
RAIN (PRECIPITATION)_3								sɯŋ⁴						
RED_1	ikaːlˀ				kaon		kɔːl							
RED_2		tɔ⁴	tɔ	tɔː⁵¹				tɔh³	tɔː⁵	tɔː⁵	tɔ⁵	tɔh¹		ɗɔː²¹⁴
ROOT_1									rac²	tʰac²	rɛt⁵³			
ROOT_2	ri	lɛl̥³	ljɛ	ljɛlʰ¹				lɛl³⁴					lɛːl⁵¹	ɹeː²¹⁴
ROOT_3												hɛh		
ROPE_1		ca̤k⁴	cak	cəak⁵³					caːk⁵³	caːk⁵³	cak⁵³		cɐːk⁵³	caːk²¹²
ROPE_2								ʔatŏŋ³²⁴				ʔatal¹		
ROPE_3	ariɲ													
ROUND_1	tlɔːn	klɔn²	klɔn	tlɔːn²				kalŏm³²⁴	klɔːn²	klɔːn²	ʈɔn²		klɔːn²	ʈɔːŋ²¹
SALT_1	ɓɒːi̯	ɓɔi̯³	bɔj	bɔːj³	bɔːj	bɔːj	bɔːj	bɔ̰j³⁴³	vɔːj³	bɔːj³	vɔj³	bɔːj¹	bɒːj³	muːi̯⁴⁵
SAND_1									kaːc⁵²	kaːc⁵²	kăc⁵²			kaːk⁴⁵
SAND_2	takaːi̯c		tə̆kac	təkaːc⁵²										
SAND_3		kaɽa̤ŋ²			kʰlɛː	pʰlɛː	kʰlɛː	kʰalɤŋ³						
SAND_4												tʰɛh²		
SEE_1											tə̆j³			tʰəi̯⁴⁵
SEE_2	ʨɯŋ	cɯ̆ŋ¹	cɨŋ	ʒua̤m	daːm		daːm	cɤ̆ŋ³⁴						
SEE_3												nah⁴		
SIT_1	ŋoi	ŋo̤i̯²	ŋuj	ŋo̤i			ŋuːj		ŋoːj²	ŋoːj²	ŋoj²		ŋoːj²	ŋoːi̯²¹
SIT_2												cuŋ²		
SIT_3								sadoh³						
SKIN_1		kuɽot⁴	kărɔt	kəroːt⁵²	kʰlaot	kʰloːt	kʰlaot	kʰalɔ̰t³⁴				kʰaloːt²		
SKIN_2									taː¹	taː¹	ta¹			
SKIN_3														jaː³³
SKIN_4	arwoi̯c													
SLEEP_1	pi				tɔŋ	tɨŋ	tʌŋ							
SLEEP_2		ɲap⁴	nʌp	nəa̤p				năm³²⁴			ŋu⁵	nam⁴		ŋu²¹⁴
SMALL_1											ɲɔ⁵			ɲɔː²¹⁴
SMALL_2			dɛdɛ	dʔuoʔ	diːt		diːt	dɪt³⁴				ʔiːt		
SMALL_3		ɗɛ⁰ɗɛ³												
SMALL_4	kʌtkʌ̆t													
SMOKE (EXHAUST)_1		kuhɔi̯³		kəhɔːj³				kahəj³⁴³				kahɔːj¹		
SMOKE (EXHAUST)_2			kaɔj		kʰɔːj	kʰɔːj	kʰɔːj		kʰɔːj³	kʰɔːj³	xɔj³		kʰɒːj³	xɔːi̯⁴⁵
SMOKE (EXHAUST)_3	ahɒːi̯													
STAR_1		kumĭŋ¹	kŭmiɲ	kumiŋ		kbeː								
STAR_2									kʰaːw¹	kʰaːw¹	ʃaw¹		kʰraːw¹	saːu̯³³
STAR_3	tlɔː				baɛ		bae	kalɔ³²⁴						
STAR_4												ʔakɔːl³		
STONE_1			lata	taː³	taː	taː	taː		kʰuː⁴	fuː⁴	ta³	kih³	taː³	ɗaː⁴⁵
STONE_2	atɛa̯ʔ													
STONE_3		ta⁰ta³												
STONE_4								kɔnkɤl³						
SWIM_1		ʔaʑa¹												
SWIM_2											tăm³			
SWIM_3				pɤi̯	pəːj		pəːj							ɓəːi̯³³
SWIM_4								lɔj³⁴						
SWIM_5	ŋuolˀ													
SWIM_6			aja											
TAIL_1	tuoi̯	tɔ̤i̯²	tuoj	twej²	tɔːj	tɔːj	toːj		twoj¹	twoj¹	tuj¹	toːj¹	tɔːj²	ɗuəi̯³³
THICK_1	uɓău				taj		taj		taj²	taj²	tăj²			
THICK_2		katɤ̆i̯²	kutɨej			ktaj		kapu³				kbuː		
THICK_3														jai̯²¹
THIS_1		ʔini¹						tani³				ʔaliː¹		
THIS_2	kɯ̆i̯		ni	ni	nəi	niː	nei				năj¹		naː³	nai̯²¹
THOU_1	mɯi̯		mi	mi	məi	miː	mei						miː²	mai̯²¹
THOU_2		ʔami¹										tʰəw¹		
THOU_3											jə̆w¹			
THOU_4								căk						
TONGUE_1		la̤ɽ⁴	ləarl	ləalʰ²	laːc	laːt	laːc	lal³	laːj⁵¹	laːj⁴⁵		laʤʰ¹	lɐːl⁵¹	lɨːi̯²¹⁴
TONGUE_2	lieh													
TOOTH_1		kaɕăŋ¹	kasăŋ	kəsaŋ¹				kasăŋ³				ksaŋ¹		
TOOTH_2	atʰăŋ									saŋ¹	tăŋ¹			
TOOTH_3														ɹăŋ³³
TREE_1		kɤ̤i̯²	kəʌj	kəj¹	kɔn	kaw	kʌl	kil³	kaə¹	kəl¹	kən¹	tʰaŋ²	kʌl²	kəi̯³³
TREE_2	ʨirʌŋ													
TWO_1	hɛa̯l	hal¹	hal	haːl¹	haːn	haːl	haːl	hal³⁴	haːə¹	haːl¹	han¹	haːl¹	haːl¹	haːi̯³³
WALK_1	tiː	ti²	ti	tiː²	təi	tiː	tei		tiː¹	tiː¹	ti¹	tiː¹	tiː²	ɗi³³
WALK_2								ʔɤc³⁴						
WARM_1	tiɲ	tĭŋ¹	tɨl			tʰəːl	tʰəːl		ʔəm³	ʔəm³			ʔʌm³	ʔəm⁴⁵
WARM_2				kəʔam				taʔɯ̆m³⁴³				ptiŋ¹		
WARM_3											ə̆m¹ə̆m³			
WATER_1	ɗɛa̯k	ɗak³	dak	daːk⁵²	daːk	daːk	daːk	dak⁴	raːk⁵²	daːk⁵²	djak⁵²	daːk¹	daːk⁵²	nɨːk⁴⁵
WHAT_1	amɯ̆h							mʌ						
WHAT_2		camɤ³	cămə	kɛ	ciː		ciː				si¹			
WHAT_3												ʔahəː³		
WHAT_4														ji²¹
WHITE_1	tlaːk	takal¹	tə̆kal	cakal	plɔːk	plɔːk	plɔk							
WHITE_2											ʈăŋ³			ʈăŋ⁴⁵
WHITE_3								lɒk³⁴	lɔːk⁵³	lɔːk⁵³		lɔːk³	pɐːk⁵³	
WHO_1											aj¹	noː¹		
WHO_2			ʔaj	ʔaj	ʔaɛ	ʔeː	ʔae		ʔaːj¹	ʔaːj¹			ʔeː¹	ʔaːi̯³³
WHO_3		ʔaʔai̯¹						ʔavɛ³						
WHO_4	iɗɯm													
WIDE_1	roŋˀ		ʒuoŋ		ɣoːŋ		ʰloːŋ		ʐoːŋ⁴	tʰoːŋ⁴⁵			roːŋ⁴	ɹɔŋ͡m²¹²
WIND_1					jɔː		jɔː							jɔː⁴⁵
WIND_2									sɔː³	sɔː³	sɔ³		sɒː³	
WIND_3		kuʑɔ³	kăjɔ	kəjɔː³		kăjɔː						kjuː¹		
WIND_4	kaʑɒʔ													
WIND_5								ka³zɔ³⁴³						
