Concept	Alternate_Labels
ALL	ALL
ARM OR HAND	ARM; ARM OR HAND; HAND
ASH	ASH
BACK	BACK
BARK	BARK
BE DEAD OR DIE	BE DEAD; BE DEAD OR DIE; DIE
BELLY OR STOMACH	BELLY; BELLY OR STOMACH; STOMACH
BIG	BIG
BIRD	BIRD
BITE	BITE
BLACK	BLACK
BLOOD	BLOOD
BLUE OR GREEN	BLUE; BLUE OR GREEN; GREEN
BONE	BONE
BREAST	BREAST
BURN	BURN; BURN (SOMETHING); BURNING
CLOUD	CLOUD
COLD	COLD; COLD (OF WEATHER)
COME	COME
COUNT	COUNT
DIRTY	DIRTY
DOG	DOG
DRINK	DRINK
DRY	DRY
EAR	EAR
EARTH	EARTH; EARTH (SOIL)
EAT	EAT
EGG	EGG
EYE	EYE
FALL	FALL
FAR	FAR
FEATHER OR FUR OR HAIR	FEATHER; FEATHER OR FUR OR HAIR; FUR; HAIR
FINE OR THIN	FINE; FINE OR THIN; THIN; THIN (OF HAIR AND THREAD); THIN (OF LEAF AND CLOTH); THIN (OF SHAPE OF OBJECT)
FINGERNAIL OR TOENAIL	CLAW; CLAW OR NAIL; FINGERNAIL; FINGERNAIL OR TOENAIL; TOENAIL
FIRE OR FIREWOOD	FIRE; FIRE OR FIREWOOD; FIREWOOD
FISH	FISH
FIVE	FIVE
FLESH OR MEAT	FLESH; FLESH OR MEAT; MEAT
FLOWER	FLOWER
FLY	FLY; FLY (MOVE THROUGH AIR)
FOOT OR LEG	FOOT; FOOT OR LEG; LEG
FOUR	FOUR
FULL	FULL
GIVE	GIVE
GOOD	GOOD
GRASS	GRASS
HAIR	HAIR; HAIR (HEAD)
HEAD	HEAD
HEAR OR LISTEN	HEAR; HEAR OR LISTEN; LISTEN
HEART	HEART
HEAVY	HEAVY
HOLD OR TAKE	HOLD; HOLD OR TAKE; TAKE
HORN	HORN; HORN (ANATOMY)
HOT OR WARM	HOT; HOT OR WARM; WARM; WARM (OF WEATHER)
I	I
KILL	KILL
KNEE	KNEE
KNOW	KNOW; KNOW (SOMETHING)
LAUGH	LAUGH
LEAF	LEAF
LIE	LIE; LIE (REST); LIE DOWN
LIVER	LIVER
LONG	LONG
LOUSE	BODY LOUSE; HEAD LOUSE; LOUSE
MALE PERSON	MALE PERSON; MAN
MANY	MANY
MOON	MOON
MOUNTAIN OR HILL	HILL; MOUNTAIN; MOUNTAIN OR HILL
MOUTH	MOUTH
NAME	NAME
NEAR	NEAR
NECK	NECK
NEW	NEW
NIGHT	NIGHT
NO OR NOT	NO; NO OR NOT; NOT
NOSE	NOSE
OLD	OLD; OLD (AGED); OLD (OF MAN); OLD (OF WOMAN); OLD (USED)
ONE	ONE
ORGANIC FAT OR OIL	FAT (FROM ANIMALS); FAT (ORGANIC SUBSTANCE); OIL; ORGANIC FAT; ORGANIC FAT OR OIL
PATH OR ROAD	PATH; PATH OR ROAD; ROAD
PERSON	PERSON
RAINING OR RAIN	RAIN; RAIN (PRECIPITATION); RAINING; RAINING OR RAIN
RED	RED
ROOT	ROOT
ROPE	ROPE
ROUND	CIRCULAR (ROUND IN TWO DIMENSIONS); ROUND; SPHERICAL (ROUND IN THREE DIMENSIONS)
SALT	SALT
SAND	SAND
SAY	SAY
SEE	SEE
SEED	SEED
SEW	SEW
SHARP	SHARP
SHORT	SHORT
SIT	SIT
SKIN	SKIN; SKIN (HUMAN)
SKY	SKY
SLEEP	SLEEP; SLEEP (STATE)
SMALL	SMALL
SMOKE	SMOKE; SMOKE (EXHAUST)
SNAKE	SNAKE
STAND	STAND
STAR	STAR
STONE	STONE
SUCK	SUCK
SUN	SUN
SWIM	SWIM
TAIL	TAIL
THAT	THAT
THEY	THEY
THICK	THICK
THINK	THINK; THINK (REFLECT)
THIS	THIS
THOU	THOU
THREE	THREE
THROW	THROW
TONGUE	TONGUE
TOOTH	TOOTH
TREE	TREE
TWO	TWO
VOMIT	VOMIT
WALK	WALK
WATER	WATER
WE	WE; WE (INCLUSIVE)
WET	WET
WHAT	WHAT
WHERE	WHERE
WHITE	WHITE
WHO	WHO
WIDE	WIDE
WIND	WIND
WING	WING
WOMAN	FEMALE PERSON; WOMAN
WORM	WORM
YEAR	YEAR
YELLOW	YELLOW
