Group,Phones
bilabial,p b ɓ m ʙ ɸ β w ʍ ʘ
labiodental,ɱ f v ʋ
dental,θ ð ǀ
alveolar,t d ɗ n r ɾ ɺ s z ɕ ʑ ɬ ɮ ɹ l ɫ ʦ ʣ ǃ
postalveolar,ʃ ʒ ʧ ʤ
alveolopaltal,ɕ ʑ ʨ ʥ ȵ
retroflex,ʈ ɖ ᶑ ɳ ɽ ʂ ʐ ɻ ɭ
palatal,c ɟ ʄ ɲ ç ʝ ɧ j ɥ ʎ ǂ
velar,k ɡ ɠ ŋ x ɣ ɧ ɰ ʟ ɫ w ʍ
uvular,q ɢ ʛ ɴ ʀ χ ʁ
pharyngeal,ħ ʕ
epiglottal,ʡ ʢ ʜ
glottal,ʔ h ɦ
laterals,ɬ ɮ l ɫ ɺ ɭ ʎ ʟ ǁ
plosive,p b t d ʈ ɖ c ɟ k ɡ q ɢ ʡ ʔ
implosive,ɓ ɗ ᶑ ʄ ɠ ʛ
affricate,ʦ ʣ ʧ ʤ ʨ ʥ
nasals,m ɱ n ɳ ȵ ɲ ŋ ɴ
trills,ʙ r ʀ ʢ ʜ
tap_flap,ɾ ɽ ɺ
liquids,ɹ l ɫ ɻ ɭ ʎ ʟ r ʀ ɾ ɽ ɺ
rhotic,ɹ ɺ ɻ ɽ ɾ ʀ ʁ
fricative,ɸ β f v θ ð s z ɬ ɮ ʃ ʒ ʂ ʐ ɕ ʑ ç ʝ ɧ x ɣ χ ʁ ħ ʕ h ɦ
approximants,ʋ ɹ l ɫ ɻ ɭ j ɥ ʎ ɰ ʟ w ʍ
glides,j ɥ ɰ w ʍ
clicks,ʘ ǀ ǃ ǂ ǁ
