Feature,Category,Parent Node,Distinctions in Category,Distinctions in Node,Tier,Weight,Normalized Weight
stress,suprasegmental,suprasegmental,2,2,2,0.75,0.006586972432300561
tone,suprasegmental,suprasegmental,2,2,2,0.75,0.006586972432300561
delayedRelease,supralaryngeal,supralaryngeal,6,6,3,1.2222222222222223,0.010734325445230545
round,place,labial,16,1,3,1.7777777777777777,0.015613564283971699
anterior,place,coronal,16,3,3,2.0,0.017565259819468163
distributed,place,coronal,16,3,3,2.0,0.017565259819468163
strident,place,coronal,16,3,3,2.0,0.017565259819468163
advancedTongueRoot,place,dorsal,16,7,3,2.4444444444444446,0.02146865089046109
back,place,dorsal,16,7,3,2.4444444444444446,0.02146865089046109
front,place,dorsal,16,7,3,2.4444444444444446,0.02146865089046109
high,place,dorsal,16,7,3,2.4444444444444446,0.02146865089046109
low,place,dorsal,16,7,3,2.4444444444444446,0.02146865089046109
retractedTongueRoot,place,dorsal,16,7,3,2.4444444444444446,0.02146865089046109
tense,place,dorsal,16,7,3,2.4444444444444446,0.02146865089046109
constrictedGlottis,laryngeal,laryngeal,6,6,2,2.75,0.024152232251768723
fortis,laryngeal,laryngeal,6,6,2,2.75,0.024152232251768723
loweredLarynxImplosive,laryngeal,laryngeal,6,6,2,2.75,0.024152232251768723
periodicGlottalSource,laryngeal,laryngeal,6,6,2,2.75,0.024152232251768723
raisedLarynxEjective,laryngeal,laryngeal,6,6,2,2.75,0.024152232251768723
spreadGlottis,laryngeal,laryngeal,6,6,2,2.75,0.024152232251768723
click,supralaryngeal,supralaryngeal,6,6,2,2.75,0.024152232251768723
continuant,supralaryngeal,supralaryngeal,6,6,2,2.75,0.024152232251768723
lateral,supralaryngeal,supralaryngeal,6,6,2,2.75,0.024152232251768723
tap,supralaryngeal,supralaryngeal,6,6,2,2.75,0.024152232251768723
trill,supralaryngeal,supralaryngeal,6,6,2,2.75,0.024152232251768723
long,length,length,2,2,1,3.0,0.026347889729202243
short,length,length,2,2,1,3.0,0.026347889729202243
approximant,approximant,root,1,5,1,5.0,0.043913149548670406
consonantal,consonantal,root,1,5,1,5.0,0.043913149548670406
nasal,nasal,root,1,5,1,5.0,0.043913149548670406
coronal,place,articulator,16,5,2,5.0,0.043913149548670406
dorsal,place,articulator,16,5,2,5.0,0.043913149548670406
epilaryngealSource,place,articulator,16,5,2,5.0,0.043913149548670406
labial,place,articulator,16,5,2,5.0,0.043913149548670406
labiodental,place,articulator,16,5,2,5.0,0.043913149548670406
sonorant,sonorant,root,1,5,1,5.0,0.043913149548670406
syllabic,syllabic,root,1,5,1,5.0,0.043913149548670406
