# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
#
1	Central Pomo	ALL	j aː w a l	6 7 6 7 5	AXBYN	JAWAL	1	1.J.C 1.A.V 1.W.C 1.A.V 1.L.c	2.0 1.5 1.75 1.3 0.8	jaːwal	0	1
100	Central Yana	ALL	p a n a u m a	1 7 4 7 7 4 7	AXBYYBZ	PANAYMA	2	2.P.C 2.A.V 2.N.C 2.A.V 2.Y.V 2.M.C 2.A.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	panauma	0	2
180	Chimariko	ALL	kʰ u m i tʼʲ i n	1 7 4 7 1 7 4	AXBYBYN	KYMITIN	3	3.K.C 3.Y.V 3.M.C 3.I.V 3.T.C 3.I.V 3.N.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	kʰumitʼʲin	0	3
297	Cocopa	ALL	s aː m	3 7 4	AXN	SAM	4	4.S.C 4.A.V 4.M.c	2.0 1.5 0.8	saːm	0	4
412	Eastern Pomo	ALL	k uː m u	1 7 4 7	AXBZ	KYMY	5	5.K.C 5.Y.V 5.M.C 5.Y.V	2.0 1.5 1.75 0.8	kuːmu	0	5
521	Highland Chontal	ALL	b u l a fʼ k a ʔ	1 7 5 7 3 1 7 1	AXBYMBYN	PYLABKAH	6	6.P.C 6.Y.V 6.L.C 6.A.V 6.B.c 6.K.C 6.A.V 6.H.c	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	bulafʼkaʔ	0	6
634	Ipai	ALL	nʲ aː m a t̪	4 7 4 7 1	AXBYN	NAMAT	7	7.N.C 7.A.V 7.M.C 7.A.V 7.T.c	2.0 1.5 1.75 1.3 0.8	nʲaːmat̪	0	7
747	Karok	ALL	k oː β u ɾ a	1 7 3 7 5 7	AXBYBZ	KUBYRA	8	8.K.C 8.U.V 8.B.C 8.Y.V 8.R.C 8.A.V	2.0 1.5 1.75 1.3 1.75 0.8	koːβuɾa	0	8
861	Kashaya	ALL	tʼ iː	1 7	AX	TI	9	9.T.C 9.I.V	2.0 1.5	tʼiː	0	9
965	Mohave	ALL	p a j	1 7 6	AXN	PAJ	10	10.P.C 10.A.V 10.J.c	2.0 1.5 0.8	paj	0	10
1188	Northern Pomo	ALL	d i l e j	1 7 5 7 6	AXBYN	TILEJ	12	12.T.C 12.I.V 12.L.C 12.E.V 12.J.c	2.0 1.5 1.75 1.3 0.8	dilej	0	11
1293	Northern Yana	ALL	p a n a u m a	1 7 4 7 7 4 7	AXBYYBZ	PANAYMA	13	13.P.C 13.A.V 13.N.C 13.A.V 13.Y.V 13.M.C 13.A.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	panauma	0	2
1391	Seri	ALL	k oː χ	1 7 3	AXN	KUG	14	14.K.C 14.U.V 14.G.c	2.0 1.5 0.8	koːχ	0	13
1502	Shasta	ALL	ʔ w iː w aː w a h u ʔ	1 6 7 6 7 6 7 3 7 1	ACXBYBYBYN	HWIWAWAHYH	15	15.H.C 15.W.C 15.I.V 15.W.C 15.A.V 15.W.C 15.A.V 15.H.C 15.Y.V 15.H.c	2.0 1.5 1.5 1.75 1.3 1.75 1.3 1.75 1.3 0.8	ʔwiːwaːwahuʔ	0	14
1503	Shasta	ALL	ʔ w iː w a w a w	1 6 7 6 7 6 7 6	ACXBYBYN	HWIWAWAW	15	15.H.C 15.W.C 15.I.V 15.W.C 15.A.V 15.W.C 15.A.V 15.W.c	2.0 1.5 1.5 1.75 1.3 1.75 1.3 0.8	ʔwiːwawaw	0	14
1608	Southeastern Pomo	ALL	ʔ u χ q a t̪	1 7 3 1 7 1	AXMBYN	HYGKAT	16	16.H.C 16.Y.V 16.G.c 16.K.C 16.A.V 16.T.c	2.0 1.5 1.1 1.75 1.3 0.8	ʔuχqat̪	0	15
1712	Southern Pomo	ALL	n aː p i j o	4 7 1 7 6 7	AXBYBZ	NAPIJU	17	17.N.C 17.A.V 17.P.C 17.I.V 17.J.C 17.U.V	2.0 1.5 1.75 1.3 1.75 0.8	naːpijo	0	16
1812	Tipai	ALL	ʧ a m ʎ̥	2 7 4 5	AXBC	CAML	18	18.C.C 18.A.V 18.M.C 18.L.C	2.0 1.5 1.75 1.5	ʧamʎ̥	0	4
1813	Tipai	ALL	ɲ a ʧ a m ʎ̥	4 7 2 7 4 5	AXBYBC	NACAML	18	18.N.C 18.A.V 18.C.C 18.A.V 18.M.C 18.L.C	2.0 1.5 1.75 1.3 1.75 1.5	ɲaʧamʎ̥	0	4
1905	Yahi	ALL	p a n a u m a	1 7 4 7 7 4 7	AXBYYBZ	PANAYMA	19	19.P.C 19.A.V 19.N.C 19.A.V 19.Y.V 19.M.C 19.A.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	panauma	0	2
1987	Yavapai	ALL	p a j a	1 7 6 7	AXBZ	PAJA	20	20.P.C 20.A.V 20.J.C 20.A.V	2.0 1.5 1.75 0.8	paja	0	10
#
2	Central Pomo	ASH	n o	4 7	AX	NU	1	1.N.C 1.U.V	2.0 1.5	no	0	17
181	Chimariko	ASH	m a ʦʼ χ i p a	4 7 2 3 7 1 7	AXBCYBZ	MACGIPA	3	3.M.C 3.A.V 3.C.C 3.G.C 3.I.V 3.P.C 3.A.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	maʦʼχipa	0	18
298	Cocopa	ASH	x m ʔ u ɬ	3 4 1 7 5	AXBYN	GMHYL	4	4.G.C 4.M.V 4.H.C 4.Y.V 4.L.c	2.0 1.5 1.75 1.3 0.8	xmʔuɬ	0	19
413	Eastern Pomo	ASH	n o	4 7	AX	NU	5	5.N.C 5.U.V	2.0 1.5	no	0	17
522	Highland Chontal	ASH	ɬ a b i	5 7 1 7	AXBZ	LAPI	6	6.L.C 6.A.V 6.P.C 6.I.V	2.0 1.5 1.75 0.8	ɬabi	0	21
635	Ipai	ASH	ʔ ə m p i ɬ	1 7 4 1 7 5	AXMBYN	HEMPIL	7	7.H.C 7.E.V 7.M.c 7.P.C 7.I.V 7.L.c	2.0 1.5 1.1 1.75 1.3 0.8	ʔəmpiɬ	0	22
748	Karok	ASH	a m t aː p	7 4 1 7 1	XMBYN	AMTAP	8	8.A.V 8.M.c 8.T.C 8.A.V 8.P.c	1.5 1.1 1.75 1.3 0.8	amtaːp	0	23
862	Kashaya	ASH	ʔ i n o q o ʧ	1 7 4 7 1 7 2	AXBYBYN	HINUKUC	9	9.H.C 9.I.V 9.N.C 9.U.V 9.K.C 9.U.V 9.C.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	ʔinoqoʧ	0	17
966	Mohave	ASH	h a m ʔ uː ʎ	3 7 4 1 7 5	AXMBYN	HAMHYL	10	10.H.C 10.A.V 10.M.c 10.H.C 10.Y.V 10.L.c	2.0 1.5 1.1 1.75 1.3 0.8	hamʔuːʎ	0	25
1094	Northeastern Pomo	ASH	m a l a ʔ	4 7 5 7 1	AXBYN	MALAH	11	11.M.C 11.A.V 11.L.C 11.A.V 11.H.c	2.0 1.5 1.75 1.3 0.8	malaʔ	0	26
1189	Northern Pomo	ASH	n o h o	4 7 3 7	AXBZ	NUHU	12	12.N.C 12.U.V 12.H.C 12.U.V	2.0 1.5 1.75 0.8	noho	0	17
1294	Northern Yana	ASH	tʼ a p ʔ l aː w i ʔ a u n a	1 7 1 1 5 7 6 7 1 7 7 4 7	AXMBCYBYBYYBZ	TAPHLAWIHAYNA	13	13.T.C 13.A.V 13.P.c 13.H.C 13.L.C 13.A.V 13.W.C 13.I.V 13.H.C 13.A.V 13.Y.V 13.N.C 13.A.V	2.0 1.5 1.1 1.75 1.5 1.3 1.75 1.3 1.75 1.3 1.3 1.75 0.8	tʼapʔlaːwiʔauna	0	28
1392	Seri	ASH	ʔ a n t i m a k	1 7 4 1 7 4 7 1	AXMBYBYN	HANTIMAK	14	14.H.C 14.A.V 14.N.c 14.T.C 14.I.V 14.M.C 14.A.V 14.K.c	2.0 1.5 1.1 1.75 1.3 1.75 1.3 0.8	ʔantimak	0	29
1504	Shasta	ASH	m a h a w a	4 7 3 7 6 7	AXBYBZ	MAHAWA	15	15.M.C 15.A.V 15.H.C 15.A.V 15.W.C 15.A.V	2.0 1.5 1.75 1.3 1.75 0.8	mahawa	0	26
1609	Southeastern Pomo	ASH	χ o j o n o χ o	3 7 6 7 4 7 3 7	AXBYBYBZ	GUJUNUGU	16	16.G.C 16.U.V 16.J.C 16.U.V 16.N.C 16.U.V 16.G.C 16.U.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	χojonoχo	0	31
1713	Southern Pomo	ASH	h iː n o	3 7 4 7	AXBZ	HINU	17	17.H.C 17.I.V 17.N.C 17.U.V	2.0 1.5 1.75 0.8	hiːno	0	17
1988	Yavapai	ASH	ʔ m h u l	1 4 3 7 5	AXBYN	HMHYL	20	20.H.C 20.M.V 20.H.C 20.Y.V 20.L.c	2.0 1.5 1.75 1.3 0.8	ʔmhul	0	25
1989	Yavapai	ASH	ʔ m h u l	1 4 3 7 5	AXBYN	HMHYL	20	20.H.C 20.M.V 20.H.C 20.Y.V 20.L.c	2.0 1.5 1.75 1.3 0.8	ʔmhul	1	25
#
3	Central Pomo	BARK	kʰ w aː	1 6 7	ACX	KWA	1	1.K.C 1.W.C 1.A.V	2.0 1.5 1.5	kʰwaː	0	32
182	Chimariko	BARK	h i p χ a ʧʼ i	3 7 1 3 7 2 7	AXBCYBZ	HIPGACI	3	3.H.C 3.I.V 3.P.C 3.G.C 3.A.V 3.C.C 3.I.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	hipχaʧʼi	0	33
183	Chimariko	BARK	h i pː χ a ʧ i	3 7 1 3 7 2 7	AXBCYBZ	HIPGACI	3	3.H.C 3.I.V 3.P.C 3.G.C 3.A.V 3.C.C 3.I.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	hipːχaʧi	0	33
299	Cocopa	BARK	ʂ x u j a l	3 3 7 6 7 5	ACYBYN	SGYJAL	4	4.S.C 4.G.C 4.Y.V 4.J.C 4.A.V 4.L.c	2.0 1.5 1.3 1.75 1.3 0.8	ʂxujal	0	34
