# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
#
1	Central Yana	ALL	p a n a u m a	1 7 4 7 7 4 7	AXBYYBZ	PANAYMA	1	1.P.C 1.A.V 1.N.C 1.A.V 1.Y.V 1.M.C 1.A.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	panauma	0	1
81	Northern Yana	ALL	p a n a u m a	1 7 4 7 7 4 7	AXBYYBZ	PANAYMA	2	2.P.C 2.A.V 2.N.C 2.A.V 2.Y.V 2.M.C 2.A.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	panauma	0	1
179	Yahi	ALL	p a n a u m a	1 7 4 7 7 4 7	AXBYYBZ	PANAYMA	3	3.P.C 3.A.V 3.N.C 3.A.V 3.Y.V 3.M.C 3.A.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	panauma	0	1
#
82	Northern Yana	ASH	tʼ a p ʔ l aː w i ʔ a u n a	1 7 1 1 5 7 6 7 1 7 7 4 7	AXMBCYBYBYYBZ	TAPHLAWIHAYNA	2	2.T.C 2.A.V 2.P.c 2.H.C 2.L.C 2.A.V 2.W.C 2.I.V 2.H.C 2.A.V 2.Y.V 2.N.C 2.A.V	2.0 1.5 1.1 1.75 1.5 1.3 1.75 1.3 1.75 1.3 1.3 1.75 0.8	tʼapʔlaːwiʔauna	0	2
#
83	Northern Yana	BARK	p a t ʔ j a u n a	1 7 1 1 6 7 7 4 7	AXMBCYYBZ	PATHJAYNA	2	2.P.C 2.A.V 2.T.c 2.H.C 2.J.C 2.A.V 2.Y.V 2.N.C 2.A.V	2.0 1.5 1.1 1.75 1.5 1.3 1.3 1.75 0.8	patʔjauna	0	3
#
84	Northern Yana	BELLY	w i l l a	6 7 5 5 7	AXMBZ	WILLA	2	2.W.C 2.I.V 2.L.c 2.L.C 2.A.V	2.0 1.5 1.1 1.75 0.8	willa	0	4
180	Yahi	BELLY	w i l l a	6 7 5 5 7	AXMBZ	WILLA	3	3.W.C 3.I.V 3.L.c 3.L.C 3.A.V	2.0 1.5 1.1 1.75 0.8	willa	0	4
#
2	Central Yana	BIG	p a ʦ a l	1 7 2 7 5	AXBYN	PACAL	1	1.P.C 1.A.V 1.C.C 1.A.V 1.L.c	2.0 1.5 1.75 1.3 0.8	paʦal	0	5
85	Northern Yana	BIG	p a ʦ a l	1 7 2 7 5	AXBYN	PACAL	2	2.P.C 2.A.V 2.C.C 2.A.V 2.L.c	2.0 1.5 1.75 1.3 0.8	paʦal	0	5
181	Yahi	BIG	p a ʦ a l	1 7 2 7 5	AXBYN	PACAL	3	3.P.C 3.A.V 3.C.C 3.A.V 3.L.c	2.0 1.5 1.75 1.3 0.8	paʦal	0	5
#
86	Northern Yana	BIRD	ʦ u t ʔ a w i	2 7 1 1 7 6 7	AXMBYBZ	CYTHAWI	2	2.C.C 2.Y.V 2.T.c 2.H.C 2.A.V 2.W.C 2.I.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	ʦutʔawi	0	6
#
3	Central Yana	BITE	ʦ a	2 7	AX	CA	1	1.C.C 1.A.V	2.0 1.5	ʦa	0	7
87	Northern Yana	BITE	ʦ a	2 7	AX	CA	2	2.C.C 2.A.V	2.0 1.5	ʦa	0	7
182	Yahi	BITE	ʦ a	2 7	AX	CA	3	3.C.C 3.A.V	2.0 1.5	ʦa	0	7
#
4	Central Yana	BLACK	t a pʰ a l s a	1 7 1 7 5 3 7	AXBYMBZ	TAPALSA	1	1.T.C 1.A.V 1.P.C 1.A.V 1.L.c 1.S.C 1.A.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	tapʰalsa	0	8
88	Northern Yana	BLACK	t a pʰ a l s a	1 7 1 7 5 3 7	AXBYMBZ	TAPALSA	2	2.T.C 2.A.V 2.P.C 2.A.V 2.L.c 2.S.C 2.A.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	tapʰalsa	0	8
183	Yahi	BLACK	t a h pʰ a l s a	1 7 3 1 7 5 3 7	AXMBYMBZ	TAHPALSA	3	3.T.C 3.A.V 3.H.c 3.P.C 3.A.V 3.L.c 3.S.C 3.A.V	2.0 1.5 1.1 1.75 1.3 1.1 1.75 0.8	tahpʰalsa	0	8
#
5	Central Yana	BLOOD	w a t ʔ t u w i	6 7 1 1 1 7 6 7	AXLMBYBZ	WATHTYWI	1	1.W.C 1.A.V 1.T.c 1.H.c 1.T.C 1.Y.V 1.W.C 1.I.V	2.0 1.5 1.1 1.1 1.75 1.3 1.75 0.8	watʔtuwi	0	9
89	Northern Yana	BLOOD	w a t ʔ t u w i	6 7 1 1 1 7 6 7	AXLMBYBZ	WATHTYWI	2	2.W.C 2.A.V 2.T.c 2.H.c 2.T.C 2.Y.V 2.W.C 2.I.V	2.0 1.5 1.1 1.1 1.75 1.3 1.75 0.8	watʔtuwi	0	9
#
6	Central Yana	BONE	ʔ i x t a l ʔ	1 7 3 1 7 5 1	AXMBYLN	HIGTALH	1	1.H.C 1.I.V 1.G.c 1.T.C 1.A.V 1.L.c 1.H.c	2.0 1.5 1.1 1.75 1.3 1.1 0.8	ʔixtalʔ	0	10
90	Northern Yana	BONE	ʔ i x t a l ʔ	1 7 3 1 7 5 1	AXMBYLN	HIGTALH	2	2.H.C 2.I.V 2.G.c 2.T.C 2.A.V 2.L.c 2.H.c	2.0 1.5 1.1 1.75 1.3 1.1 0.8	ʔixtalʔ	0	10
