# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID
#
128	Apolobamba	ASH	u ʧ pʰ a	7 2 1 7	XMBZ	YCPA	1	1.Y.V 1.C.c 1.P.C 1.A.V	1.5 1.1 1.75 0.8	uʧpʰa	0	6
286	Apurí-Madean-Viñac	ASH	u ʈ p a	7 1 1 7	XMBZ	YTPA	2	2.Y.V 2.T.c 2.P.C 2.A.V	1.5 1.1 1.75 0.8	uʈpa	0	2
445	Ayacucho	ASH	u ʧ p a	7 2 1 7	XMBZ	YCPA	3	3.Y.V 3.C.c 3.P.C 3.A.V	1.5 1.1 1.75 0.8	uʧpa	0	6
550	Azuay	ASH	u ʧ u p a	7 2 7 1 7	XBYBZ	YCYPA	4	4.Y.V 4.C.C 4.Y.V 4.P.C 4.A.V	1.5 1.75 1.3 1.75 0.8	uʧupa	0	4
752	Cacra-Hongos	ASH	u ʈ p a	7 1 1 7	XMBZ	YTPA	5	5.Y.V 5.T.c 5.P.C 5.A.V	1.5 1.1 1.75 0.8	uʈpa	0	2
901	Cajamarca	ASH	u ʂ p a	7 3 1 7	XMBZ	YSPA	6	6.Y.V 6.S.c 6.P.C 6.A.V	1.5 1.1 1.75 0.8	uʂpa	0	6
1048	Chachapoyas	ASH	u ʈ͡ʂ p a	7 1 1 7	XMBZ	YTPA	7	7.Y.V 7.T.c 7.P.C 7.A.V	1.5 1.1 1.75 0.8	uʈ͡ʂpa	0	7
1201	Chimborazo	ASH	u ʃ p a	7 3 1 7	XMBZ	YSPA	8	8.Y.V 8.S.c 8.P.C 8.A.V	1.5 1.1 1.75 0.8	uʃpa	0	6
1358	Chocos-Huangáscar	ASH	u ʈ p a	7 1 1 7	XMBZ	YTPA	9	9.Y.V 9.T.c 9.P.C 9.A.V	1.5 1.1 1.75 0.8	uʈpa	0	2
1511	Chuquisaca	ASH	u ʃ pʰ a	7 3 1 7	XMBZ	YSPA	10	10.Y.V 10.S.c 10.P.C 10.A.V	1.5 1.1 1.75 0.8	uʃpʰa	0	6
1664	Cochabamba	ASH	u ʃ pʰ a	7 3 1 7	XMBZ	YSPA	11	11.Y.V 11.S.c 11.P.C 11.A.V	1.5 1.1 1.75 0.8	uʃpʰa	0	6
1817	Colombian Inga	ASH	u ʧ p a	7 2 1 7	XMBZ	YCPA	12	12.Y.V 12.C.c 12.P.C 12.A.V	1.5 1.1 1.75 0.8	uʧpa	0	6
1969	Corongo	ASH	u ʧ p a	7 2 1 7	XMBZ	YCPA	13	13.Y.V 13.C.c 13.P.C 13.A.V	1.5 1.1 1.75 0.8	uʧpa	0	6
2121	Cuzco	ASH	u s pʰ a	7 3 1 7	XMBZ	YSPA	14	14.Y.V 14.S.c 14.P.C 14.A.V	1.5 1.1 1.75 0.8	uspʰa	0	6
2323	Eastern-Apurímac	ASH	u s p a	7 3 1 7	XMBZ	YSPA	15	15.Y.V 15.S.c 15.P.C 15.A.V	1.5 1.1 1.75 0.8	uspa	0	6
2484	Huallaga-Huánuco	ASH	u ʧ p a	7 2 1 7	XMBZ	YCPA	16	16.Y.V 16.C.c 16.P.C 16.A.V	1.5 1.1 1.75 0.8	uʧpa	0	6
2636	Huancavelica	ASH	u ʧ p a	7 2 1 7	XMBZ	YCPA	17	17.Y.V 17.C.c 17.P.C 17.A.V	1.5 1.1 1.75 0.8	uʧpa	0	6
2774	Huaraz-Huailas	ASH	u ʧ p a	7 2 1 7	XMBZ	YCPA	18	18.Y.V 18.C.c 18.P.C 18.A.V	1.5 1.1 1.75 0.8	uʧpa	0	6
2933	Huaylla-Huanca	ASH	u ʈ͡ʂ p a	7 1 1 7	XMBZ	YTPA	19	19.Y.V 19.T.c 19.P.C 19.A.V	1.5 1.1 1.75 0.8	uʈ͡ʂpa	0	19
3084	Imbabura	ASH	u ʧ u f a	7 2 7 3 7	XBYBZ	YCYBA	20	20.Y.V 20.C.C 20.Y.V 20.B.C 20.A.V	1.5 1.75 1.3 1.75 0.8	uʧufa	0	4
3126	Jauja-Huanca	ASH	u ʈ͡ʂ p a	7 1 1 7	XMBZ	YTPA	21	21.Y.V 21.T.c 21.P.C 21.A.V	1.5 1.1 1.75 0.8	uʈ͡ʂpa	0	21
3385	Lambayeque	ASH	u ʈ͡ʂ p a	7 1 1 7	XMBZ	YTPA	22	22.Y.V 22.T.c 22.P.C 22.A.V	1.5 1.1 1.75 0.8	uʈ͡ʂpa	0	22
