family,cognate_method,eval_method,min_similarity,tree_type,TreeDist,GenQuartetDist
Arabic,gold,Hybrid-calibrated,min-0.4,nj,0.491272464,0.037593985
Arabic,gold,Hybrid-calibrated,min-0.2,nj,0.505524715,0.082706767
Arabic,gold,PMI-calibrated,min-0.0,nj,0.520762483,0.102255639
Arabic,gold,PMI-calibrated,min-0.1,nj,0.520762483,0.102255639
Arabic,none,PMI-calibrated,min-0.4,nj,0.504607791,0.105263158
Arabic,Surprisal,PMI-calibrated,min-0.4,nj,0.456611247,0.105263158
Arabic,Hybrid,PMI-calibrated,min-0.4,nj,0.456611247,0.105263158
Arabic,none,Hybrid-calibrated,min-0.4,ward,0.586961199,0.109022556
Arabic,Surprisal,Hybrid-calibrated,min-0.4,ward,0.586961199,0.109022556
Arabic,gold,Hybrid-calibrated,min-0.4,ward,0.586961199,0.109022556
Arabic,none,Surprisal-calibrated,min-0.5,nj,0.523227656,0.114285714
Arabic,none,Surprisal-uncalibrated,min-0.0,nj,0.523227656,0.114285714
Arabic,none,Surprisal-uncalibrated,min-0.1,nj,0.523227656,0.114285714
Arabic,none,Surprisal-uncalibrated,min-0.2,nj,0.523227656,0.114285714
Arabic,none,Surprisal-uncalibrated,min-0.3,nj,0.523227656,0.114285714
Arabic,none,Surprisal-uncalibrated,min-0.4,nj,0.523227656,0.114285714
Arabic,none,Surprisal-uncalibrated,min-0.5,nj,0.523227656,0.114285714
Arabic,PMI,Surprisal-calibrated,min-0.1,nj,0.523227656,0.114285714
Arabic,PMI,Surprisal-calibrated,min-0.4,nj,0.523227656,0.114285714
Arabic,Surprisal,Surprisal-calibrated,min-0.5,nj,0.523227656,0.114285714
Arabic,Surprisal,Surprisal-uncalibrated,min-0.0,nj,0.523227656,0.114285714
Arabic,Surprisal,Surprisal-uncalibrated,min-0.1,nj,0.523227656,0.114285714
Arabic,Surprisal,Surprisal-uncalibrated,min-0.2,nj,0.523227656,0.114285714
Arabic,Surprisal,Surprisal-uncalibrated,min-0.3,nj,0.523227656,0.114285714
Arabic,Surprisal,Surprisal-uncalibrated,min-0.4,nj,0.523227656,0.114285714
Arabic,Surprisal,Surprisal-uncalibrated,min-0.5,nj,0.523227656,0.114285714
Arabic,PMI,Surprisal-calibrated,min-0.0,nj,0.523227656,0.115789474
Arabic,PMI,Surprisal-calibrated,min-0.2,nj,0.523227656,0.115789474
Arabic,PMI,Surprisal-calibrated,min-0.3,nj,0.523227656,0.115789474
Arabic,PMI,Surprisal-calibrated,min-0.5,nj,0.523227656,0.115789474
Arabic,PMI,Surprisal-uncalibrated,min-0.0,nj,0.523227656,0.115789474
Arabic,PMI,Surprisal-uncalibrated,min-0.1,nj,0.523227656,0.115789474
Arabic,PMI,Surprisal-uncalibrated,min-0.2,nj,0.523227656,0.115789474
Arabic,PMI,Surprisal-uncalibrated,min-0.3,nj,0.523227656,0.115789474
Arabic,PMI,Surprisal-uncalibrated,min-0.4,nj,0.523227656,0.115789474
Arabic,PMI,Surprisal-uncalibrated,min-0.5,nj,0.523227656,0.115789474
Arabic,Hybrid,Surprisal-calibrated,min-0.5,nj,0.523227656,0.115789474
Arabic,Hybrid,Surprisal-uncalibrated,min-0.0,nj,0.523227656,0.115789474
Arabic,Hybrid,Surprisal-uncalibrated,min-0.1,nj,0.523227656,0.115789474
Arabic,Hybrid,Surprisal-uncalibrated,min-0.2,nj,0.523227656,0.115789474
Arabic,Hybrid,Surprisal-uncalibrated,min-0.3,nj,0.523227656,0.115789474
Arabic,Hybrid,Surprisal-uncalibrated,min-0.4,nj,0.523227656,0.115789474
Arabic,Hybrid,Surprisal-uncalibrated,min-0.5,nj,0.523227656,0.115789474
Arabic,gold,Surprisal-calibrated,min-0.5,nj,0.523227656,0.115789474
Arabic,gold,Surprisal-uncalibrated,min-0.0,nj,0.523227656,0.115789474
Arabic,gold,Surprisal-uncalibrated,min-0.1,nj,0.523227656,0.115789474
Arabic,gold,Surprisal-uncalibrated,min-0.2,nj,0.523227656,0.115789474
Arabic,gold,Surprisal-uncalibrated,min-0.3,nj,0.523227656,0.115789474
